latitude, longitude
45.14277, -125.09671
45.14277, -124.96010
45.14277, -124.82350
45.14277, -124.68689
45.14277, -124.55028
45.14277, -124.41368
45.14277, -124.27707
45.14277, -124.14046
45.14277, -124.00386
45.14277, -123.86725
45.14277, -123.73064
45.14277, -123.59404
45.14277, -123.45743
45.14277, -123.32082
45.14277, -123.18422
45.14277, -123.04761
45.14277, -122.91100
45.14277, -122.77439
45.14277, -122.63779
45.14277, -122.50118
45.14277, -122.36457
45.14277, -122.22797
45.14277, -122.09136
45.14277, -121.95475
45.14277, -121.81815
45.14277, -121.68154
45.14277, -121.54493
45.14277, -121.40833
45.14277, -121.27172
45.14277, -121.13511
45.14277, -120.99851
45.14277, -120.86190
45.14277, -120.72529
45.14277, -120.58869
45.14277, -120.45208
45.14277, -120.31547
45.14277, -120.17887
45.14277, -120.04226
45.14277, -119.90565
45.14277, -119.76905
45.14277, -119.63244
45.14277, -119.49583
45.14277, -119.35922
45.14277, -119.22262
45.14277, -119.08601
45.14277, -118.94940
45.14277, -118.81280
45.14277, -118.67619
45.14277, -118.53958
45.14277, -118.40298
45.14277, -118.26637
45.14277, -118.12976
45.14277, -117.99316
45.14277, -117.85655
45.14277, -117.71994
45.14277, -117.58334
45.14277, -117.44673
45.14277, -117.31012
45.14277, -117.17352
45.14277, -117.03691
45.14277, -116.90030
45.14277, -116.76370
45.14277, -116.62709
45.14277, -116.49048
45.14277, -116.35388
45.25093, -125.09671
45.25093, -124.96010
45.25093, -124.82350
45.25093, -124.68689
45.25093, -124.55028
45.25093, -124.41368
45.25093, -124.27707
45.25093, -124.14046
45.25093, -124.00386
45.25093, -123.86725
45.25093, -123.73064
45.25093, -123.59404
45.25093, -123.45743
45.25093, -123.32082
45.25093, -123.18422
45.25093, -123.04761
45.25093, -122.91100
45.25093, -122.77439
45.25093, -122.63779
45.25093, -122.50118
45.25093, -122.36457
45.25093, -122.22797
45.25093, -122.09136
45.25093, -121.95475
45.25093, -121.81815
45.25093, -121.68154
45.25093, -121.54493
45.25093, -121.40833
45.25093, -121.27172
45.25093, -121.13511
45.25093, -120.99851
45.25093, -120.86190
45.25093, -120.72529
45.25093, -120.58869
45.25093, -120.45208
45.25093, -120.31547
45.25093, -120.17887
45.25093, -120.04226
45.25093, -119.90565
45.25093, -119.76905
45.25093, -119.63244
45.25093, -119.49583
45.25093, -119.35922
45.25093, -119.22262
45.25093, -119.08601
45.25093, -118.94940
45.25093, -118.81280
45.25093, -118.67619
45.25093, -118.53958
45.25093, -118.40298
45.25093, -118.26637
45.25093, -118.12976
45.25093, -117.99316
45.25093, -117.85655
45.25093, -117.71994
45.25093, -117.58334
45.25093, -117.44673
45.25093, -117.31012
45.25093, -117.17352
45.25093, -117.03691
45.25093, -116.90030
45.25093, -116.76370
45.25093, -116.62709
45.25093, -116.49048
45.25093, -116.35388
45.35909, -125.09671
45.35909, -124.96010
45.35909, -124.82350
45.35909, -124.68689
45.35909, -124.55028
45.35909, -124.41368
45.35909, -124.27707
45.35909, -124.14046
45.35909, -124.00386
45.35909, -123.86725
45.35909, -123.73064
45.35909, -123.59404
45.35909, -123.45743
45.35909, -123.32082
45.35909, -123.18422
45.35909, -123.04761
45.35909, -122.91100
45.35909, -122.77439
45.35909, -122.63779
45.35909, -122.50118
45.35909, -122.36457
45.35909, -122.22797
45.35909, -122.09136
45.35909, -121.95475
45.35909, -121.81815
45.35909, -121.68154
45.35909, -121.54493
45.35909, -121.40833
45.35909, -121.27172
45.35909, -121.13511
45.35909, -120.99851
45.35909, -120.86190
45.35909, -120.72529
45.35909, -120.58869
45.35909, -120.45208
45.35909, -120.31547
45.35909, -120.17887
45.35909, -120.04226
45.35909, -119.90565
45.35909, -119.76905
45.35909, -119.63244
45.35909, -119.49583
45.35909, -119.35922
45.35909, -119.22262
45.35909, -119.08601
45.35909, -118.94940
45.35909, -118.81280
45.35909, -118.67619
45.35909, -118.53958
45.35909, -118.40298
45.35909, -118.26637
45.35909, -118.12976
45.35909, -117.99316
45.35909, -117.85655
45.35909, -117.71994
45.35909, -117.58334
45.35909, -117.44673
45.35909, -117.31012
45.35909, -117.17352
45.35909, -117.03691
45.35909, -116.90030
45.35909, -116.76370
45.35909, -116.62709
45.35909, -116.49048
45.35909, -116.35388
45.46725, -125.09671
45.46725, -124.96010
45.46725, -124.82350
45.46725, -124.68689
45.46725, -124.55028
45.46725, -124.41368
45.46725, -124.27707
45.46725, -124.14046
45.46725, -124.00386
45.46725, -123.86725
45.46725, -123.73064
45.46725, -123.59404
45.46725, -123.45743
45.46725, -123.32082
45.46725, -123.18422
45.46725, -123.04761
45.46725, -122.91100
45.46725, -122.77439
45.46725, -122.63779
45.46725, -122.50118
45.46725, -122.36457
45.46725, -122.22797
45.46725, -122.09136
45.46725, -121.95475
45.46725, -121.81815
45.46725, -121.68154
45.46725, -121.54493
45.46725, -121.40833
45.46725, -121.27172
45.46725, -121.13511
45.46725, -120.99851
45.46725, -120.86190
45.46725, -120.72529
45.46725, -120.58869
45.46725, -120.45208
45.46725, -120.31547
45.46725, -120.17887
45.46725, -120.04226
45.46725, -119.90565
45.46725, -119.76905
45.46725, -119.63244
45.46725, -119.49583
45.46725, -119.35922
45.46725, -119.22262
45.46725, -119.08601
45.46725, -118.94940
45.46725, -118.81280
45.46725, -118.67619
45.46725, -118.53958
45.46725, -118.40298
45.46725, -118.26637
45.46725, -118.12976
45.46725, -117.99316
45.46725, -117.85655
45.46725, -117.71994
45.46725, -117.58334
45.46725, -117.44673
45.46725, -117.31012
45.46725, -117.17352
45.46725, -117.03691
45.46725, -116.90030
45.46725, -116.76370
45.46725, -116.62709
45.46725, -116.49048
45.46725, -116.35388
45.57541, -125.09671
45.57541, -124.96010
45.57541, -124.82350
45.57541, -124.68689
45.57541, -124.55028
45.57541, -124.41368
45.57541, -124.27707
45.57541, -124.14046
45.57541, -124.00386
45.57541, -123.86725
45.57541, -123.73064
45.57541, -123.59404
45.57541, -123.45743
45.57541, -123.32082
45.57541, -123.18422
45.57541, -123.04761
45.57541, -122.91100
45.57541, -122.77439
45.57541, -122.63779
45.57541, -122.50118
45.57541, -122.36457
45.57541, -122.22797
45.57541, -122.09136
45.57541, -121.95475
