latitude, longitude, count
45.14277, -125.09671, 0.00000
45.14277, -124.96010, 0.00000
45.14277, -124.82350, 0.00000
45.14277, -124.68689, 0.00000
45.14277, -124.55028, 0.00000
45.14277, -124.41368, 0.00000
45.14277, -124.27707, 0.00000
45.14277, -124.14046, 0.05523
45.14277, -124.00386, 0.79022
45.14277, -123.86725, 0.49714
45.14277, -123.73064, 0.13901
45.14277, -123.59404, 0.03190
45.14277, -123.45743, 0.00771
45.14277, -123.32082, 0.00303
45.14277, -123.18422, 0.00202
45.14277, -123.04761, 0.00174
45.14277, -122.91100, 0.00185
45.14277, -122.77439, 0.00226
45.14277, -122.63779, 0.00316
45.14277, -122.50118, 0.00491
45.14277, -122.36457, 0.00874
45.14277, -122.22797, 0.01670
45.14277, -122.09136, 0.03386
45.14277, -121.95475, 0.07085
45.14277, -121.81815, 0.12967
45.14277, -121.68154, 0.18462
45.14277, -121.54493, 0.20107
45.14277, -121.40833, 0.19174
45.14277, -121.27172, 0.17781
45.14277, -121.13511, 0.15406
45.14277, -120.99851, 0.13376
45.14277, -120.86190, 0.11730
45.14277, -120.72529, 0.10311
45.14277, -120.58869, 0.09552
45.14277, -120.45208, 0.09357
45.14277, -120.31547, 0.09434
45.14277, -120.17887, 0.09685
45.14277, -120.04226, 0.09851
45.14277, -119.90565, 0.10542
45.14277, -119.76905, 0.09622
45.14277, -119.63244, 0.09672
45.14277, -119.49583, 0.09478
45.14277, -119.35922, 0.08451
45.14277, -119.22262, 0.08110
45.14277, -119.08601, 0.07065
45.14277, -118.94940, 0.05748
45.14277, -118.81280, 0.03879
45.14277, -118.67619, 0.03176
45.14277, -118.53958, 0.01941
45.14277, -118.40298, 0.01405
45.14277, -118.26637, 0.01148
45.14277, -118.12976, 0.01174
45.14277, -117.99316, 0.01200
45.14277, -117.85655, 0.01358
45.14277, -117.71994, 0.01621
45.14277, -117.58334, 0.01658
45.14277, -117.44673, 0.01562
45.14277, -117.31012, 0.01809
45.14277, -117.17352, 0.01395
45.14277, -117.03691, 0.00886
45.14277, -116.90030, 0.00951
45.14277, -116.76370, 0.00493
45.14277, -116.62709, 0.00411
45.14277, -116.49048, 0.00350
45.14277, -116.35388, 0.00332
45.25093, -125.09671, 0.00000
45.25093, -124.96010, 0.00000
45.25093, -124.82350, 0.00000
45.25093, -124.68689, 0.00000
45.25093, -124.55028, 0.00000
45.25093, -124.41368, 0.00000
45.25093, -124.27707, 0.00000
45.25093, -124.14046, 0.01554
45.25093, -124.00386, 0.41820
45.25093, -123.86725, 0.36547
45.25093, -123.73064, 0.14901
45.25093, -123.59404, 0.03818
45.25093, -123.45743, 0.01068
45.25093, -123.32082, 0.00455
45.25093, -123.18422, 0.00288
45.25093, -123.04761, 0.00242
45.25093, -122.91100, 0.00249
45.25093, -122.77439, 0.00302
45.25093, -122.63779, 0.00419
45.25093, -122.50118, 0.00667
45.25093, -122.36457, 0.01127
45.25093, -122.22797, 0.02177
45.25093, -122.09136, 0.04555
45.25093, -121.95475, 0.09466
45.25093, -121.81815, 0.16895
45.25093, -121.68154, 0.23118
45.25093, -121.54493, 0.24669
45.25093, -121.40833, 0.23717
45.25093, -121.27172, 0.21750
45.25093, -121.13511, 0.19113
45.25093, -120.99851, 0.16212
45.25093, -120.86190, 0.13818
45.25093, -120.72529, 0.12002
45.25093, -120.58869, 0.11118
45.25093, -120.45208, 0.10838
45.25093, -120.31547, 0.10801
45.25093, -120.17887, 0.10674
45.25093, -120.04226, 0.10803
45.25093, -119.90565, 0.10768
45.25093, -119.76905, 0.10193
45.25093, -119.63244, 0.09433
45.25093, -119.49583, 0.08074
45.25093, -119.35922, 0.06526
45.25093, -119.22262, 0.05542
45.25093, -119.08601, 0.04311
45.25093, -118.94940, 0.03671
45.25093, -118.81280, 0.02756
45.25093, -118.67619, 0.02127
45.25093, -118.53958, 0.01460
45.25093, -118.40298, 0.01054
45.25093, -118.26637, 0.00901
45.25093, -118.12976, 0.00847
45.25093, -117.99316, 0.00895
45.25093, -117.85655, 0.01051
45.25093, -117.71994, 0.01075
45.25093, -117.58334, 0.01259
45.25093, -117.44673, 0.01110
45.25093, -117.31012, 0.00970
45.25093, -117.17352, 0.00762
45.25093, -117.03691, 0.00432
45.25093, -116.90030, 0.00307
45.25093, -116.76370, 0.00218
45.25093, -116.62709, 0.00170
45.25093, -116.49048, 0.00158
45.25093, -116.35388, 0.00211
45.35909, -125.09671, 0.00000
45.35909, -124.96010, 0.00000
45.35909, -124.82350, 0.00000
45.35909, -124.68689, 0.00000
45.35909, -124.55028, 0.00000
45.35909, -124.41368, 0.00000
45.35909, -124.27707, 0.00000
45.35909, -124.14046, 0.00827
45.35909, -124.00386, 0.18506
45.35909, -123.86725, 0.21694
45.35909, -123.73064, 0.12409
45.35909, -123.59404, 0.04447
45.35909, -123.45743, 0.01489
45.35909, -123.32082, 0.00650
45.35909, -123.18422, 0.00397
45.35909, -123.04761, 0.00317
45.35909, -122.91100, 0.00316
45.35909, -122.77439, 0.00371
45.35909, -122.63779, 0.00520
45.35909, -122.50118, 0.00812
45.35909, -122.36457, 0.01393
45.35909, -122.22797, 0.02737
45.35909, -122.09136, 0.05697
45.35909, -121.95475, 0.11200
45.35909, -121.81815, 0.19455
45.35909, -121.68154, 0.25654
45.35909, -121.54493, 0.27031
45.35909, -121.40833, 0.26186
45.35909, -121.27172, 0.24245
45.35909, -121.13511, 0.21268
45.35909, -120.99851, 0.17947
45.35909, -120.86190, 0.14678
45.35909, -120.72529, 0.12602
45.35909, -120.58869, 0.11593
45.35909, -120.45208, 0.11148
45.35909, -120.31547, 0.11100
45.35909, -120.17887, 0.11080
45.35909, -120.04226, 0.10932
45.35909, -119.90565, 0.10319
45.35909, -119.76905, 0.09201
45.35909, -119.63244, 0.07664
45.35909, -119.49583, 0.06139
45.35909, -119.35922, 0.04547
45.35909, -119.22262, 0.03162
45.35909, -119.08601, 0.02464
45.35909, -118.94940, 0.01904
45.35909, -118.81280, 0.01666
45.35909, -118.67619, 0.01340
45.35909, -118.53958, 0.00987
45.35909, -118.40298, 0.00761
45.35909, -118.26637, 0.00638
45.35909, -118.12976, 0.00608
45.35909, -117.99316, 0.00712
45.35909, -117.85655, 0.00777
45.35909, -117.71994, 0.00763
45.35909, -117.58334, 0.00801
45.35909, -117.44673, 0.00746
45.35909, -117.31012, 0.00548
45.35909, -117.17352, 0.00359
45.35909, -117.03691, 0.00208
45.35909, -116.90030, 0.00130
45.35909, -116.76370, 0.00077
45.35909, -116.62709, 0.00052
45.35909, -116.49048, 0.00052
45.35909, -116.35388, 0.00070
45.46725, -125.09671, 0.00000
45.46725, -124.96010, 0.00000
45.46725, -124.82350, 0.00000
45.46725, -124.68689, 0.00000
45.46725, -124.55028, 0.00000
45.46725, -124.41368, 0.00000
45.46725, -124.27707, 0.00000
45.46725, -124.14046, 0.00542
45.46725, -124.00386, 0.12002
45.46725, -123.86725, 0.15887
45.46725, -123.73064, 0.11784
45.46725, -123.59404, 0.05775
45.46725, -123.45743, 0.02391
45.46725, -123.32082, 0.01039
45.46725, -123.18422, 0.00604
45.46725, -123.04761, 0.00441
45.46725, -122.91100, 0.00427
45.46725, -122.77439, 0.00495
45.46725, -122.63779, 0.00679
45.46725, -122.50118, 0.01029
45.46725, -122.36457, 0.01767
45.46725, -122.22797, 0.03443
45.46725, -122.09136, 0.07170
45.46725, -121.95475, 0.14448
45.46725, -121.81815, 0.24325
45.46725, -121.68154, 0.30952
45.46725, -121.54493, 0.32643
45.46725, -121.40833, 0.32075
45.46725, -121.27172, 0.29870
45.46725, -121.13511, 0.25944
45.46725, -120.99851, 0.21314
45.46725, -120.86190, 0.17166
45.46725, -120.72529, 0.14442
45.46725, -120.58869, 0.13218
45.46725, -120.45208, 0.12809
45.46725, -120.31547, 0.12701
45.46725, -120.17887, 0.12660
45.46725, -120.04226, 0.12115
45.46725, -119.90565, 0.10910
45.46725, -119.76905, 0.09006
45.46725, -119.63244, 0.06914
45.46725, -119.49583, 0.05047
45.46725, -119.35922, 0.03476
45.46725, -119.22262, 0.02332
45.46725, -119.08601, 0.01717
45.46725, -118.94940, 0.01387
45.46725, -118.81280, 0.01318
45.46725, -118.67619, 0.01136
45.46725, -118.53958, 0.00885
45.46725, -118.40298, 0.00717
45.46725, -118.26637, 0.00631
45.46725, -118.12976, 0.00603
