latitude, longitude, count
45.14277, -125.09671, 0.00000, 0.00000
45.14277, -124.96010, 0.00000, 0.00000
45.14277, -124.82350, 0.00000, 0.00000
45.14277, -124.68689, 0.00000, 0.00000
45.14277, -124.55028, 0.00000, 0.00000
45.14277, -124.41368, 0.00000, 0.00000
45.14277, -124.27707, 0.00000, 0.00001
45.14277, -124.14046, 0.09046, 0.00001
45.14277, -124.00386, 3.21574, 0.00002
45.14277, -123.86725, 1.40638, 0.00005
45.14277, -123.73064, 0.27907, 0.00037
45.14277, -123.59404, 0.04175, 0.00288
45.14277, -123.45743, 0.00740, 0.01851
45.14277, -123.32082, 0.00283, 0.09275
45.14277, -123.18422, 0.00184, 0.35728
45.14277, -123.04761, 0.00163, 1.05344
45.14277, -122.91100, 0.00186, 2.37703
45.14277, -122.77439, 0.00227, 4.11157
45.14277, -122.63779, 0.00284, 5.47017
45.14277, -122.50118, 0.00451, 5.62975
45.14277, -122.36457, 0.00828, 4.52572
45.14277, -122.22797, 0.01663, 2.89359
45.14277, -122.09136, 0.03532, 1.52773
45.14277, -121.95475, 0.07103, 0.72396
45.14277, -121.81815, 0.12460, 0.36487
45.14277, -121.68154, 0.18360, 0.24225
45.14277, -121.54493, 0.19985, 0.21718
45.14277, -121.40833, 0.19321, 0.22270
45.14277, -121.27172, 0.17928, 0.23405
45.14277, -121.13511, 0.14904, 0.24483
45.14277, -120.99851, 0.12023, 0.25040
45.14277, -120.86190, 0.10835, 0.24420
45.14277, -120.72529, 0.09754, 0.22237
45.14277, -120.58869, 0.08701, 0.18802
45.14277, -120.45208, 0.08585, 0.14963
45.14277, -120.31547, 0.09853, 0.11404
45.14277, -120.17887, 0.10206, 0.08303
45.14277, -120.04226, 0.08717, 0.05689
45.14277, -119.90565, 0.10337, 0.03726
45.14277, -119.76905, 0.12386, 0.02471
45.14277, -119.63244, 0.12245, 0.01696
45.14277, -119.49583, 0.11363, 0.01138
45.14277, -119.35922, 0.13178, 0.00720
45.14277, -119.22262, 0.09328, 0.00458
45.14277, -119.08601, 0.09193, 0.00327
45.14277, -118.94940, 0.08312, 0.00274
45.14277, -118.81280, 0.08441, 0.00270
45.14277, -118.67619, 0.04462, 0.00304
45.14277, -118.53958, 0.02369, 0.00352
45.14277, -118.40298, 0.03246, 0.00367
45.14277, -118.26637, 0.01538, 0.00318
45.14277, -118.12976, 0.01983, 0.00224
45.14277, -117.99316, 0.01873, 0.00134
45.14277, -117.85655, 0.02724, 0.00076
45.14277, -117.71994, 0.01680, 0.00044
45.14277, -117.58334, 0.02650, 0.00025
45.14277, -117.44673, 0.03257, 0.00015
45.14277, -117.31012, 0.03315, 0.00009
45.14277, -117.17352, 0.02247, 0.00006
45.14277, -117.03691, 0.02422, 0.00004
45.14277, -116.90030, 0.02431, 0.00003
45.14277, -116.76370, 0.02805, 0.00001
45.14277, -116.62709, 0.02131, 0.00001
45.14277, -116.49048, 0.02015, 0.00000
45.14277, -116.35388, 0.03904, 0.00000
45.25093, -125.09671, 0.00000, 0.00000
45.25093, -124.96010, 0.00000, 0.00000
45.25093, -124.82350, 0.00000, 0.00000
45.25093, -124.68689, 0.00000, 0.00000
45.25093, -124.55028, 0.00000, 0.00001
45.25093, -124.41368, 0.00000, 0.00003
45.25093, -124.27707, 0.00000, 0.00006
45.25093, -124.14046, 0.03659, 0.00009
45.25093, -124.00386, 1.90907, 0.00012
45.25093, -123.86725, 1.47123, 0.00023
45.25093, -123.73064, 0.27600, 0.00106
45.25093, -123.59404, 0.04656, 0.00706
45.25093, -123.45743, 0.01171, 0.04289
45.25093, -123.32082, 0.00503, 0.20958
45.25093, -123.18422, 0.00273, 0.79525
45.25093, -123.04761, 0.00216, 2.31867
45.25093, -122.91100, 0.00234, 5.18144
45.25093, -122.77439, 0.00360, 8.88081
45.25093, -122.63779, 0.00360, 11.70964
45.25093, -122.50118, 0.00612, 11.94457
45.25093, -122.36457, 0.01252, 9.52141
45.25093, -122.22797, 0.02452, 6.04648
45.25093, -122.09136, 0.04394, 3.18684
45.25093, -121.95475, 0.09212, 1.52811
45.25093, -121.81815, 0.16158, 0.79998
45.25093, -121.68154, 0.21861, 0.56047
45.25093, -121.54493, 0.24787, 0.51713
45.25093, -121.40833, 0.22450, 0.52861
45.25093, -121.27172, 0.21090, 0.54848
45.25093, -121.13511, 0.18505, 0.57326
45.25093, -120.99851, 0.15601, 0.59670
45.25093, -120.86190, 0.13327, 0.59730
45.25093, -120.72529, 0.11892, 0.55612
45.25093, -120.58869, 0.10656, 0.47664
45.25093, -120.45208, 0.10304, 0.38215
45.25093, -120.31547, 0.10441, 0.29341
45.25093, -120.17887, 0.10178, 0.21664
45.25093, -120.04226, 0.10540, 0.15267
45.25093, -119.90565, 0.09572, 0.10511
45.25093, -119.76905, 0.10647, 0.07458
45.25093, -119.63244, 0.08807, 0.05483
45.25093, -119.49583, 0.07463, 0.03965
45.25093, -119.35922, 0.07365, 0.02793
45.25093, -119.22262, 0.06370, 0.02032
45.25093, -119.08601, 0.03989, 0.01588
45.25093, -118.94940, 0.03509, 0.01330
45.25093, -118.81280, 0.03530, 0.01239
45.25093, -118.67619, 0.02395, 0.01331
45.25093, -118.53958, 0.01445, 0.01514
45.25093, -118.40298, 0.01059, 0.01578
45.25093, -118.26637, 0.00859, 0.01372
45.25093, -118.12976, 0.00956, 0.00974
45.25093, -117.99316, 0.01180, 0.00591
45.25093, -117.85655, 0.01223, 0.00341
45.25093, -117.71994, 0.01180, 0.00203
45.25093, -117.58334, 0.01369, 0.00123
45.25093, -117.44673, 0.01976, 0.00075
45.25093, -117.31012, 0.02475, 0.00050
45.25093, -117.17352, 0.00878, 0.00038
45.25093, -117.03691, 0.01337, 0.00029
45.25093, -116.90030, 0.00931, 0.00020
45.25093, -116.76370, 0.01027, 0.00011
45.25093, -116.62709, 0.00479, 0.00005
45.25093, -116.49048, 0.00510, 0.00002
45.25093, -116.35388, 0.02680, 0.00000
45.35909, -125.09671, 0.00000, 0.00000
45.35909, -124.96010, 0.00000, 0.00000
45.35909, -124.82350, 0.00000, 0.00000
45.35909, -124.68689, 0.00000, 0.00002
45.35909, -124.55028, 0.00000, 0.00007
45.35909, -124.41368, 0.00000, 0.00018
45.35909, -124.27707, 0.00000, 0.00035
45.35909, -124.14046, 0.00991, 0.00054
45.35909, -124.00386, 0.33836, 0.00068
45.35909, -123.86725, 0.39675, 0.00100
45.35909, -123.73064, 0.15837, 0.00301
45.35909, -123.59404, 0.05443, 0.01571
45.35909, -123.45743, 0.01386, 0.08633
45.35909, -123.32082, 0.00617, 0.40364
45.35909, -123.18422, 0.00375, 1.49636
45.35909, -123.04761, 0.00293, 4.29790
45.35909, -122.91100, 0.00305, 9.49505
45.35909, -122.77439, 0.00412, 16.11495
45.35909, -122.63779, 0.00494, 21.05561
45.35909, -122.50118, 0.00857, 21.29200
45.35909, -122.36457, 0.01458, 16.83497
45.35909, -122.22797, 0.02576, 10.62155
45.35909, -122.09136, 0.04803, 5.58980
45.35909, -121.95475, 0.10813, 2.71345
45.35909, -121.81815, 0.19024, 1.47582
45.35909, -121.68154, 0.24392, 1.08752
45.35909, -121.54493, 0.25630, 1.02890
45.35909, -121.40833, 0.24708, 1.04867
45.35909, -121.27172, 0.22690, 1.07725
45.35909, -121.13511, 0.19972, 1.12972
45.35909, -120.99851, 0.16772, 1.20137
45.35909, -120.86190, 0.14114, 1.23564
45.35909, -120.72529, 0.12230, 1.17412
45.35909, -120.58869, 0.10851, 1.01666
45.35909, -120.45208, 0.10416, 0.81837
45.35909, -120.31547, 0.09925, 0.63172
45.35909, -120.17887, 0.09825, 0.47365
45.35909, -120.04226, 0.10039, 0.34558
45.35909, -119.90565, 0.09923, 0.25276
45.35909, -119.76905, 0.08493, 0.19367
45.35909, -119.63244, 0.06055, 0.15399
45.35909, -119.49583, 0.04866, 0.12227
45.35909, -119.35922, 0.04138, 0.09781
45.35909, -119.22262, 0.02852, 0.08079
45.35909, -119.08601, 0.01817, 0.06725
45.35909, -118.94940, 0.01515, 0.05536
45.35909, -118.81280, 0.01571, 0.04829
45.35909, -118.67619, 0.01010, 0.04890
45.35909, -118.53958, 0.00931, 0.05427
45.35909, -118.40298, 0.00723, 0.05633
45.35909, -118.26637, 0.00511, 0.04917
45.35909, -118.12976, 0.00488, 0.03520
45.35909, -117.99316, 0.00607, 0.02170
45.35909, -117.85655, 0.00634, 0.01283
45.35909, -117.71994, 0.00861, 0.00789
45.35909, -117.58334, 0.00861, 0.00500
45.35909, -117.44673, 0.00616, 0.00333
45.35909, -117.31012, 0.00516, 0.00253
45.35909, -117.17352, 0.00337, 0.00214
45.35909, -117.03691, 0.00201, 0.00177
45.35909, -116.90030, 0.00184, 0.00126
45.35909, -116.76370, 0.00192, 0.00072
45.35909, -116.62709, 0.00093, 0.00032
45.35909, -116.49048, 0.00078, 0.00011
45.35909, -116.35388, 0.00560, 0.00003
45.46725, -125.09671, 0.00000, 0.00000
45.46725, -124.96010, 0.00000, 0.00000
45.46725, -124.82350, 0.00000, 0.00002
45.46725, -124.68689, 0.00000, 0.00010
45.46725, -124.55028, 0.00000, 0.00035
