latitude, longitude, count
45.14277, -125.09671, 0.02904
45.14277, -124.96010, 0.01973
45.14277, -124.82350, 0.01517
45.14277, -124.68689, 0.01685
45.14277, -124.55028, 0.02097
45.14277, -124.41368, 0.02758
45.14277, -124.27707, 0.03778
45.14277, -124.14046, 0.05243
45.14277, -124.00386, 0.06523
45.14277, -123.86725, 0.05185
45.14277, -123.73064, 0.02321
45.14277, -123.59404, 0.00835
45.14277, -123.45743, 0.00356
45.14277, -123.32082, 0.00199
45.14277, -123.18422, 0.00138
45.14277, -123.04761, 0.00110
45.14277, -122.91100, 0.00098
45.14277, -122.77439, 0.00095
45.14277, -122.63779, 0.00100
45.14277, -122.50118, 0.00114
45.14277, -122.36457, 0.00142
45.14277, -122.22797, 0.00198
45.14277, -122.09136, 0.00302
45.14277, -121.95475, 0.00479
45.14277, -121.81815, 0.00704
45.14277, -121.68154, 0.00864
45.14277, -121.54493, 0.00884
45.14277, -121.40833, 0.00824
45.14277, -121.27172, 0.00740
45.14277, -121.13511, 0.00650
45.14277, -120.99851, 0.00561
45.14277, -120.86190, 0.00483
45.14277, -120.72529, 0.00421
45.14277, -120.58869, 0.00376
45.14277, -120.45208, 0.00343
45.14277, -120.31547, 0.00316
45.14277, -120.17887, 0.00296
45.14277, -120.04226, 0.00281
45.14277, -119.90565, 0.00267
45.14277, -119.76905, 0.00246
45.14277, -119.63244, 0.00216
45.14277, -119.49583, 0.00185
45.14277, -119.35922, 0.00159
45.14277, -119.22262, 0.00134
45.14277, -119.08601, 0.00107
45.14277, -118.94940, 0.00079
45.14277, -118.81280, 0.00056
45.14277, -118.67619, 0.00038
45.14277, -118.53958, 0.00025
45.14277, -118.40298, 0.00017
45.14277, -118.26637, 0.00012
45.14277, -118.12976, 0.00010
45.14277, -117.99316, 0.00008
45.14277, -117.85655, 0.00008
45.14277, -117.71994, 0.00007
45.14277, -117.58334, 0.00006
45.14277, -117.44673, 0.00005
45.14277, -117.31012, 0.00004
45.14277, -117.17352, 0.00003
45.14277, -117.03691, 0.00002
45.14277, -116.90030, 0.00001
45.14277, -116.76370, 0.00001
45.14277, -116.62709, 0.00001
45.14277, -116.49048, 0.00000
45.14277, -116.39793, 0.00000
45.25093, -125.09671, 0.02067
45.25093, -124.96010, 0.01141
45.25093, -124.82350, 0.00892
45.25093, -124.68689, 0.01010
45.25093, -124.55028, 0.01282
45.25093, -124.41368, 0.01720
45.25093, -124.27707, 0.02417
45.25093, -124.14046, 0.03539
45.25093, -124.00386, 0.04998
45.25093, -123.86725, 0.05086
45.25093, -123.73064, 0.02950
45.25093, -123.59404, 0.01275
45.25093, -123.45743, 0.00568
45.25093, -123.32082, 0.00310
45.25093, -123.18422, 0.00207
45.25093, -123.04761, 0.00161
45.25093, -122.91100, 0.00140
45.25093, -122.77439, 0.00133
45.25093, -122.63779, 0.00138
45.25093, -122.50118, 0.00156
45.25093, -122.36457, 0.00194
45.25093, -122.22797, 0.00270
45.25093, -122.09136, 0.00410
