latitude, longitude, count
45.14277, -125.09671, 0.59484
45.14277, -124.96010, 0.40269
45.14277, -124.82350, 0.29553
45.14277, -124.68689, 0.31408
45.14277, -124.55028, 0.37771
45.14277, -124.41368, 0.48243
45.14277, -124.27707, 0.64328
45.14277, -124.14046, 0.86845
45.14277, -124.00386, 1.04852
45.14277, -123.86725, 0.80834
45.14277, -123.73064, 0.35228
45.14277, -123.59404, 0.12325
45.14277, -123.45743, 0.05184
45.14277, -123.32082, 0.02954
45.14277, -123.18422, 0.02159
45.14277, -123.04761, 0.01876
45.14277, -122.91100, 0.01840
45.14277, -122.77439, 0.01982
45.14277, -122.63779, 0.02322
45.14277, -122.50118, 0.02959
45.14277, -122.36457, 0.04120
45.14277, -122.22797, 0.06273
45.14277, -122.09136, 0.10284
45.14277, -121.95475, 0.17159
45.14277, -121.81815, 0.26206
45.14277, -121.68154, 0.33093
45.14277, -121.54493, 0.34686
45.14277, -121.40833, 0.32982
45.14277, -121.27172, 0.30235
45.14277, -121.13511, 0.27169
45.14277, -120.99851, 0.24127
45.14277, -120.86190, 0.21515
45.14277, -120.72529, 0.19613
45.14277, -120.58869, 0.18451
45.14277, -120.45208, 0.17833
45.14277, -120.31547, 0.17517
45.14277, -120.17887, 0.17442
45.14277, -120.04226, 0.17656
45.14277, -119.90565, 0.17904
45.14277, -119.76905, 0.17551
45.14277, -119.63244, 0.16412
45.14277, -119.49583, 0.15101
45.14277, -119.35922, 0.14052
45.14277, -119.22262, 0.12981
45.14277, -119.08601, 0.11466
45.14277, -118.94940, 0.09610
45.14277, -118.81280, 0.07670
45.14277, -118.67619, 0.05837
45.14277, -118.53958, 0.04377
45.14277, -118.40298, 0.03426
45.14277, -118.26637, 0.02934
45.14277, -118.12976, 0.02807
45.14277, -117.99316, 0.02945
45.14277, -117.85655, 0.03183
45.14277, -117.71994, 0.03350
45.14277, -117.58334, 0.03429
45.14277, -117.44673, 0.03421
45.14277, -117.31012, 0.03173
45.14277, -117.17352, 0.02622
45.14277, -117.03691, 0.01974
45.14277, -116.90030, 0.01432
45.14277, -116.76370, 0.01064
45.14277, -116.62709, 0.00876
45.14277, -116.49048, 0.00849
45.14277, -116.39793, 0.00653
45.25093, -125.09671, 0.37873
45.25093, -124.96010, 0.20877
45.25093, -124.82350, 0.15652
45.25093, -124.68689, 0.17042
45.25093, -124.55028, 0.20992
45.25093, -124.41368, 0.27471
45.25093, -124.27707, 0.37772
45.25093, -124.14046, 0.53999
45.25093, -124.00386, 0.74003
45.25093, -123.86725, 0.72578
45.25093, -123.73064, 0.40737
45.25093, -123.59404, 0.17181
45.25093, -123.45743, 0.07581
45.25093, -123.32082, 0.04226
45.25093, -123.18422, 0.02979
45.25093, -123.04761, 0.02511
45.25093, -122.91100, 0.02412
45.25093, -122.77439, 0.02565
45.25093, -122.63779, 0.02983
45.25093, -122.50118, 0.03788
45.25093, -122.36457, 0.05265
45.25093, -122.22797, 0.08010
45.25093, -122.09136, 0.13095
45.25093, -121.95475, 0.21646
45.25093, -121.81815, 0.32415
45.25093, -121.68154, 0.39866
45.25093, -121.54493, 0.41105
45.25093, -121.40833, 0.39106
45.25093, -121.27172, 0.36122
45.25093, -121.13511, 0.32494
45.25093, -120.99851, 0.28569
45.25093, -120.86190, 0.25077
45.25093, -120.72529, 0.22549
45.25093, -120.58869, 0.21054
45.25093, -120.45208, 0.20302
45.25093, -120.31547, 0.19918
45.25093, -120.17887, 0.19725
45.25093, -120.04226, 0.19667
45.25093, -119.90565, 0.19376
45.25093, -119.76905, 0.18243
45.25093, -119.63244, 0.16302
45.25093, -119.49583, 0.14214
45.25093, -119.35922, 0.12281
45.25093, -119.22262, 0.10399
45.25093, -119.08601, 0.08637
45.25093, -118.94940, 0.07196
45.25093, -118.81280, 0.05959
45.25093, -118.67619, 0.04733
45.25093, -118.53958, 0.03657
45.25093, -118.40298, 0.02913
45.25093, -118.26637, 0.02520
45.25093, -118.12976, 0.02421
45.25093, -117.99316, 0.02535
45.25093, -117.85655, 0.02717
45.25093, -117.71994, 0.02816
45.25093, -117.58334, 0.02810
45.25093, -117.44673, 0.02676
45.25093, -117.31012, 0.02307
45.25093, -117.17352, 0.01749
45.25093, -117.03691, 0.01217
45.25093, -116.90030, 0.00832
45.25093, -116.76370, 0.00592
45.25093, -116.62709, 0.00471
45.25093, -116.49048, 0.00460
45.25093, -116.39793, 0.00381
45.35909, -125.09671, 0.22724
45.35909, -124.96010, 0.12579
45.35909, -124.82350, 0.09220
45.35909, -124.68689, 0.09923
45.35909, -124.55028, 0.12164
45.35909, -124.41368, 0.15934
45.35909, -124.27707, 0.22134
45.35909, -124.14046, 0.32581
45.35909, -124.00386, 0.48610
45.35909, -123.86725, 0.60052
45.35909, -123.73064, 0.45435
45.35909, -123.59404, 0.23485
45.35909, -123.45743, 0.11125
45.35909, -123.32082, 0.06057
45.35909, -123.18422, 0.04048
45.35909, -123.04761, 0.03246
45.35909, -122.91100, 0.03001
45.35909, -122.77439, 0.03108
45.35909, -122.63779, 0.03555
45.35909, -122.50118, 0.04472
45.35909, -122.36457, 0.06192
45.35909, -122.22797, 0.09412
45.35909, -122.09136, 0.15351
45.35909, -121.95475, 0.25101
45.35909, -121.81815, 0.36687
45.35909, -121.68154, 0.43874
45.35909, -121.54493, 0.44681
45.35909, -121.40833, 0.42692
45.35909, -121.27172, 0.39771
45.35909, -121.13511, 0.35775
45.35909, -120.99851, 0.31089
45.35909, -120.86190, 0.26860
45.35909, -120.72529, 0.23874
45.35909, -120.58869, 0.22204
45.35909, -120.45208, 0.21456
45.35909, -120.31547, 0.21116
45.35909, -120.17887, 0.20858
45.35909, -120.04226, 0.20475
45.35909, -119.90565, 0.19522
45.35909, -119.76905, 0.17589
45.35909, -119.63244, 0.14993
45.35909, -119.49583, 0.12329
45.35909, -119.35922, 0.09812
45.35909, -119.22262, 0.07600
45.35909, -119.08601, 0.05997
45.35909, -118.94940, 0.05063
45.35909, -118.81280, 0.04452
45.35909, -118.67619, 0.03772
45.35909, -118.53958, 0.03046
45.35909, -118.40298, 0.02492
45.35909, -118.26637, 0.02192
45.35909, -118.12976, 0.02125
45.35909, -117.99316, 0.02226
45.35909, -117.85655, 0.02366
45.35909, -117.71994, 0.02418
45.35909, -117.58334, 0.02351
45.35909, -117.44673, 0.02119
45.35909, -117.31012, 0.01674
45.35909, -117.17352, 0.01157
45.35909, -117.03691, 0.00749
45.35909, -116.90030, 0.00488
45.35909, -116.76370, 0.00337
45.35909, -116.62709, 0.00265
45.35909, -116.49048, 0.00258
45.35909, -116.39793, 0.00212
45.46725, -125.09671, 0.19257
45.46725, -124.96010, 0.10705
45.46725, -124.82350, 0.07675
45.46725, -124.68689, 0.08145
45.46725, -124.55028, 0.09884
45.46725, -124.41368, 0.12832
45.46725, -124.27707, 0.17678
45.46725, -124.14046, 0.25885
45.46725, -124.00386, 0.39169
45.46725, -123.86725, 0.53275
45.46725, -123.73064, 0.49919
45.46725, -123.59404, 0.31298
45.46725, -123.45743, 0.16529
45.46725, -123.32082, 0.09114
45.46725, -123.18422, 0.05873
45.46725, -123.04761, 0.04495
45.46725, -122.91100, 0.03992
45.46725, -122.77439, 0.04013
45.46725, -122.63779, 0.04496
45.46725, -122.50118, 0.05584
45.46725, -122.36457, 0.07681
45.46725, -122.22797, 0.11641
45.46725, -122.09136, 0.18920
45.46725, -121.95475, 0.30607
45.46725, -121.81815, 0.43788
45.46725, -121.68154, 0.51243
45.46725, -121.54493, 0.51834
45.46725, -121.40833, 0.49826
45.46725, -121.27172, 0.46745
45.46725, -121.13511, 0.41934
45.46725, -120.99851, 0.35972
45.46725, -120.86190, 0.30628
45.46725, -120.72529, 0.26990
45.46725, -120.58869, 0.25090
45.46725, -120.45208, 0.24373
45.46725, -120.31547, 0.24116
45.46725, -120.17887, 0.23763
45.46725, -120.04226, 0.22908
45.46725, -119.90565, 0.21089
45.46725, -119.76905, 0.18215
45.46725, -119.63244, 0.14861
45.46725, -119.49583, 0.11571
45.46725, -119.35922, 0.08620
45.46725, -119.22262, 0.06337
45.46725, -119.08601, 0.04938
45.46725, -118.94940, 0.04301
45.46725, -118.81280, 0.04022
45.46725, -118.67619, 0.03632
45.46725, -118.53958, 0.03061
45.46725, -118.40298, 0.02564
45.46725, -118.26637, 0.02286
45.46725, -118.12976, 0.02231
45.46725, -117.99316, 0.02335
45.46725, -117.85655, 0.02464
45.46725, -117.71994, 0.02489
45.46725, -117.58334, 0.02366
45.46725, -117.44673, 0.02030
45.46725, -117.31012, 0.01499
45.46725, -117.17352, 0.00979
45.46725, -117.03691, 0.00613
45.46725, -116.90030, 0.00394
45.46725, -116.76370, 0.00272
45.46725, -116.62709, 0.00215
45.46725, -116.49048, 0.00211
45.46725, -116.39793, 0.00174
45.57541, -125.09671, 0.18908
45.57541, -124.96010, 0.10561
45.57541, -124.82350, 0.07425
45.57541, -124.68689, 0.07766
45.57541, -124.55028, 0.09309
45.57541, -124.41368, 0.11922
45.57541, -124.27707, 0.16159
45.57541, -124.14046, 0.23233
45.57541, -124.00386, 0.34807
45.57541, -123.86725, 0.49146
45.57541, -123.73064, 0.52728
45.57541, -123.59404, 0.39069
45.57541, -123.45743, 0.23439
45.57541, -123.32082, 0.13649
45.57541, -123.18422, 0.08745
45.57541, -123.04761, 0.06483
45.57541, -122.91100, 0.05559
45.57541, -122.77439, 0.05425
45.57541, -122.63779, 0.05949
45.57541, -122.50118, 0.07282
45.57541, -122.36457, 0.09929
45.57541, -122.22797, 0.14968
45.57541, -122.09136, 0.24179
45.57541, -121.95475, 0.38623
45.57541, -121.81815, 0.54153
45.57541, -121.68154, 0.62369
45.57541, -121.54493, 0.63012
45.57541, -121.40833, 0.61057
45.57541, -121.27172, 0.57592
45.57541, -121.13511, 0.51346
45.57541, -120.99851, 0.43373
45.57541, -120.86190, 0.36390
45.57541, -120.72529, 0.31826
45.57541, -120.58869, 0.29602
45.57541, -120.45208, 0.28930
45.57541, -120.31547, 0.28764
45.57541, -120.17887, 0.28165
45.57541, -120.04226, 0.26461
45.57541, -119.90565, 0.23364
45.57541, -119.76905, 0.19305
45.57541, -119.63244, 0.15074
45.57541, -119.49583, 0.11158
45.57541, -119.35922, 0.07925
45.57541, -119.22262, 0.05694
45.57541, -119.08601, 0.04480
45.57541, -118.94940, 0.04049
45.57541, -118.81280, 0.04011
45.57541, -118.67619, 0.03850
45.57541, -118.53958, 0.03381
45.57541, -118.40298, 0.02890
45.57541, -118.26637, 0.02600
45.57541, -118.12976, 0.02542
45.57541, -117.99316, 0.02647
45.57541, -117.85655, 0.02763
45.57541, -117.71994, 0.02755
45.57541, -117.58334, 0.02551
45.57541, -117.44673, 0.02081
45.57541, -117.31012, 0.01450
45.57541, -117.17352, 0.00912
45.57541, -117.03691, 0.00564
45.57541, -116.90030, 0.00364
45.57541, -116.76370, 0.00254
45.57541, -116.62709, 0.00204
45.57541, -116.49048, 0.00202
45.57541, -116.39793, 0.00167
45.68357, -125.09671, 0.19751
45.68357, -124.96010, 0.11076
45.68357, -124.82350, 0.07646
45.68357, -124.68689, 0.07884
45.68357, -124.55028, 0.09330
45.68357, -124.41368, 0.11778
45.68357, -124.27707, 0.15687
45.68357, -124.14046, 0.22102
45.68357, -124.00386, 0.32602
45.68357, -123.86725, 0.46734
45.68357, -123.73064, 0.54565
45.68357, -123.59404, 0.45977
45.68357, -123.45743, 0.31125
45.68357, -123.32082, 0.19656
45.68357, -123.18422, 0.12964
45.68357, -123.04761, 0.09536
45.68357, -122.91100, 0.07995
45.68357, -122.77439, 0.07618
45.68357, -122.63779, 0.08186
45.68357, -122.50118, 0.09872
45.68357, -122.36457, 0.13318
45.68357, -122.22797, 0.19903
45.68357, -122.09136, 0.31802
45.68357, -121.95475, 0.49941
45.68357, -121.81815, 0.68652
45.68357, -121.68154, 0.78362
45.68357, -121.54493, 0.79663
45.68357, -121.40833, 0.78066
45.68357, -121.27172, 0.73911
45.68357, -121.13511, 0.65205
45.68357, -120.99851, 0.54063
45.68357, -120.86190, 0.44643
45.68357, -120.72529, 0.38722
45.68357, -120.58869, 0.35990
45.68357, -120.45208, 0.35310
45.68357, -120.31547, 0.35153
45.68357, -120.17887, 0.33951
45.68357, -120.04226, 0.30764
45.68357, -119.90565, 0.25879
45.68357, -119.76905, 0.20447
45.68357, -119.63244, 0.15320
45.68357, -119.49583, 0.10884
45.68357, -119.35922, 0.07517
45.68357, -119.22262, 0.05390
45.68357, -119.08601, 0.04326
45.68357, -118.94940, 0.04048
45.68357, -118.81280, 0.04220
45.68357, -118.67619, 0.04298
45.68357, -118.53958, 0.03936
45.68357, -118.40298, 0.03429
45.68357, -118.26637, 0.03101
45.68357, -118.12976, 0.03021
45.68357, -117.99316, 0.03109
45.68357, -117.85655, 0.03198
45.68357, -117.71994, 0.03135
45.68357, -117.58334, 0.02812
45.68357, -117.44673, 0.02176
45.68357, -117.31012, 0.01441
45.68357, -117.17352, 0.00884
45.68357, -117.03691, 0.00546
45.68357, -116.90030, 0.00355
45.68357, -116.76370, 0.00251
45.68357, -116.62709, 0.00205
45.68357, -116.49048, 0.00205
45.68357, -116.39793, 0.00170
45.79173, -125.09671, 0.21387
45.79173, -124.96010, 0.12028
45.79173, -124.82350, 0.08157
45.79173, -124.68689, 0.08292
45.79173, -124.55028, 0.09686
45.79173, -124.41368, 0.12055
45.79173, -124.27707, 0.15785
45.79173, -124.14046, 0.21809
45.79173, -124.00386, 0.31638
45.79173, -123.86725, 0.45616
45.79173, -123.73064, 0.56402
45.79173, -123.59404, 0.52288
45.79173, -123.45743, 0.39022
45.79173, -123.32082, 0.26792
45.79173, -123.18422, 0.18642
45.79173, -123.04761, 0.13993
45.79173, -122.91100, 0.11705
45.79173, -122.77439, 0.11017
45.79173, -122.63779, 0.11667
45.79173, -122.50118, 0.13879
45.79173, -122.36457, 0.18491
45.79173, -122.22797, 0.27260
45.79173, -122.09136, 0.42754
45.79173, -121.95475, 0.65514
45.79173, -121.81815, 0.88259
45.79173, -121.68154, 1.00748
45.79173, -121.54493, 1.04179
45.79173, -121.40833, 1.03865
45.79173, -121.27172, 0.98608
45.79173, -121.13511, 0.85624
45.79173, -120.99851, 0.69364
45.79173, -120.86190, 0.56198
45.79173, -120.72529, 0.48164
45.79173, -120.58869, 0.44492
45.79173, -120.45208, 0.43541
45.79173, -120.31547, 0.43089
45.79173, -120.17887, 0.40682
45.79173, -120.04226, 0.35280
45.79173, -119.90565, 0.28269
