latitude, longitude, count
45.14006, -125.10013, 0.00000
45.14006, -124.97035, 0.00000
45.14006, -124.84057, 0.00000
45.14006, -124.71080, 0.00000
45.14006, -124.58102, 0.00000
45.14006, -124.45124, 0.00000
45.14006, -124.32147, 0.00000
45.14006, -124.19169, 0.00000
45.14006, -124.06191, 0.77077
45.14006, -123.93214, 9.86571
45.14006, -123.80236, 5.39836
45.14006, -123.67258, 1.25467
45.14006, -123.54281, 0.28222
45.14006, -123.41303, 0.08118
45.14006, -123.28326, 0.03344
45.14006, -123.15348, 0.01892
45.14006, -123.02370, 0.01416
45.14006, -122.89393, 0.01253
45.14006, -122.76415, 0.01338
45.14006, -122.63437, 0.01621
45.14006, -122.50460, 0.02242
45.14006, -122.37482, 0.03398
45.14006, -122.24504, 0.05870
45.14006, -122.11527, 0.11242
45.14006, -121.98549, 0.22215
45.14006, -121.85571, 0.40385
45.14006, -121.72594, 0.60310
45.14006, -121.59616, 0.68573
45.14006, -121.46638, 0.67224
45.14006, -121.33661, 0.61427
45.14006, -121.20683, 0.55946
45.14006, -121.07706, 0.48277
45.14006, -120.94728, 0.41187
45.14006, -120.81750, 0.36650
45.14006, -120.68773, 0.33576
45.14006, -120.55795, 0.31406
45.14006, -120.42817, 0.30392
45.14006, -120.29840, 0.31262
45.14006, -120.16862, 0.32666
45.14006, -120.03884, 0.32719
45.14006, -119.90907, 0.33637
45.14006, -119.77929, 0.35520
45.14006, -119.64951, 0.34130
45.14006, -119.51974, 0.31893
45.14006, -119.38996, 0.30696
45.14006, -119.26019, 0.30971
45.14006, -119.13041, 0.29787
45.14006, -119.00063, 0.27412
45.14006, -118.87086, 0.23868
45.14006, -118.74108, 0.18150
45.14006, -118.61130, 0.13828
45.14006, -118.48153, 0.12271
45.14006, -118.35175, 0.10410
45.14006, -118.22197, 0.10190
45.14006, -118.09220, 0.11704
45.14006, -117.96242, 0.13324
45.14006, -117.83264, 0.18066
45.14006, -117.70287, 0.20689
45.14006, -117.57309, 0.20452
45.14006, -117.44331, 0.25145
45.14006, -117.31354, 0.23283
45.14006, -117.18376, 0.20035
45.14006, -117.05399, 0.12519
45.14006, -116.92421, 0.10394
45.14006, -116.79443, 0.08440
45.14006, -116.66466, 0.05439
45.14006, -116.53488, 0.05174
45.14006, -116.40510, 0.05556
45.24282, -125.10013, 0.00000
45.24282, -124.97035, 0.00000
45.24282, -124.84057, 0.00000
45.24282, -124.71080, 0.00000
45.24282, -124.58102, 0.00000
45.24282, -124.45124, 0.00000
45.24282, -124.32147, 0.00000
45.24282, -124.19169, 0.00000
45.24282, -124.06191, 0.64102
45.24282, -123.93214, 7.26306
45.24282, -123.80236, 4.26447
45.24282, -123.67258, 1.34609
45.24282, -123.54281, 0.40748
45.24282, -123.41303, 0.11999
