latitude, longitude, count
45.14277, -125.09671, 0.00000
45.14277, -124.96010, 0.00000
45.14277, -124.82350, 0.00000
45.14277, -124.68689, 0.00000
45.14277, -124.55028, 0.00000
45.14277, -124.41368, 0.00000
45.14277, -124.27707, 0.00000
45.14277, -124.14046, 0.05937
45.14277, -124.00386, 0.83541
45.14277, -123.86725, 0.51783
45.14277, -123.73064, 0.13198
45.14277, -123.59404, 0.02846
45.14277, -123.45743, 0.00720
45.14277, -123.32082, 0.00308
45.14277, -123.18422, 0.00211
45.14277, -123.04761, 0.00181
45.14277, -122.91100, 0.00190
45.14277, -122.77439, 0.00232
45.14277, -122.63779, 0.00319
45.14277, -122.50118, 0.00493
45.14277, -122.36457, 0.00868
45.14277, -122.22797, 0.01675
45.14277, -122.09136, 0.03465
45.14277, -121.95475, 0.07264
45.14277, -121.81815, 0.13334
45.14277, -121.68154, 0.18620
45.14277, -121.54493, 0.20723
45.14277, -121.40833, 0.19731
45.14277, -121.27172, 0.17913
45.14277, -121.13511, 0.16060
45.14277, -120.99851, 0.13294
45.14277, -120.86190, 0.11676
45.14277, -120.72529, 0.10629
45.14277, -120.58869, 0.09877
45.14277, -120.45208, 0.09624
45.14277, -120.31547, 0.09334
45.14277, -120.17887, 0.09344
45.14277, -120.04226, 0.10079
45.14277, -119.90565, 0.10399
45.14277, -119.76905, 0.10884
45.14277, -119.63244, 0.10116
45.14277, -119.49583, 0.09428
45.14277, -119.35922, 0.08875
45.14277, -119.22262, 0.08301
45.14277, -119.08601, 0.06868
45.14277, -118.94940, 0.06090
45.14277, -118.81280, 0.04719
45.14277, -118.67619, 0.03156
45.14277, -118.53958, 0.01992
45.14277, -118.40298, 0.01429
45.14277, -118.26637, 0.01114
45.14277, -118.12976, 0.01056
45.14277, -117.99316, 0.01235
45.14277, -117.85655, 0.01306
45.14277, -117.71994, 0.01472
45.14277, -117.58334, 0.01639
45.14277, -117.44673, 0.01932
45.14277, -117.31012, 0.01796
45.14277, -117.17352, 0.01369
45.14277, -117.03691, 0.00945
45.14277, -116.90030, 0.00792
45.14277, -116.76370, 0.00467
45.14277, -116.62709, 0.00366
45.14277, -116.49048, 0.00393
45.14277, -116.35388, 0.00395
45.25093, -125.09671, 0.00000
45.25093, -124.96010, 0.00000
45.25093, -124.82350, 0.00000
45.25093, -124.68689, 0.00000
45.25093, -124.55028, 0.00000
45.25093, -124.41368, 0.00000
45.25093, -124.27707, 0.00000
45.25093, -124.14046, 0.01468
45.25093, -124.00386, 0.42758
45.25093, -123.86725, 0.34795
45.25093, -123.73064, 0.12803
45.25093, -123.59404, 0.03527
45.25093, -123.45743, 0.01125
45.25093, -123.32082, 0.00475
45.25093, -123.18422, 0.00301
45.25093, -123.04761, 0.00247
45.25093, -122.91100, 0.00258
45.25093, -122.77439, 0.00319
45.25093, -122.63779, 0.00443
45.25093, -122.50118, 0.00663
45.25093, -122.36457, 0.01164
45.25093, -122.22797, 0.02287
45.25093, -122.09136, 0.04665
45.25093, -121.95475, 0.09656
45.25093, -121.81815, 0.17212
45.25093, -121.68154, 0.23467
45.25093, -121.54493, 0.25192
45.25093, -121.40833, 0.24080
45.25093, -121.27172, 0.22228
45.25093, -121.13511, 0.19411
45.25093, -120.99851, 0.16658
45.25093, -120.86190, 0.14122
45.25093, -120.72529, 0.12372
45.25093, -120.58869, 0.11462
45.25093, -120.45208, 0.11057
45.25093, -120.31547, 0.10949
45.25093, -120.17887, 0.10900
45.25093, -120.04226, 0.11273
45.25093, -119.90565, 0.11095
45.25093, -119.76905, 0.10451
45.25093, -119.63244, 0.09229
45.25093, -119.49583, 0.07788
45.25093, -119.35922, 0.06370
45.25093, -119.22262, 0.05682
45.25093, -119.08601, 0.04439
45.25093, -118.94940, 0.03541
45.25093, -118.81280, 0.02616
45.25093, -118.67619, 0.02040
45.25093, -118.53958, 0.01500
45.25093, -118.40298, 0.01093
45.25093, -118.26637, 0.00911
45.25093, -118.12976, 0.00828
45.25093, -117.99316, 0.00947
45.25093, -117.85655, 0.01004
45.25093, -117.71994, 0.01211
45.25093, -117.58334, 0.01124
45.25093, -117.44673, 0.01039
45.25093, -117.31012, 0.00989
45.25093, -117.17352, 0.00716
45.25093, -117.03691, 0.00454
45.25093, -116.90030, 0.00314
45.25093, -116.76370, 0.00205
45.25093, -116.62709, 0.00151
45.25093, -116.49048, 0.00141
45.25093, -116.35388, 0.00206
45.35909, -125.09671, 0.00000
45.35909, -124.96010, 0.00000
45.35909, -124.82350, 0.00000
45.35909, -124.68689, 0.00000
45.35909, -124.55028, 0.00000
45.35909, -124.41368, 0.00000
45.35909, -124.27707, 0.00000
45.35909, -124.14046, 0.00788
45.35909, -124.00386, 0.19400
45.35909, -123.86725, 0.24187
45.35909, -123.73064, 0.13394
45.35909, -123.59404, 0.04499
45.35909, -123.45743, 0.01603
45.35909, -123.32082, 0.00685
45.35909, -123.18422, 0.00417
45.35909, -123.04761, 0.00321
45.35909, -122.91100, 0.00321
45.35909, -122.77439, 0.00381
45.35909, -122.63779, 0.00517
45.35909, -122.50118, 0.00803
45.35909, -122.36457, 0.01346
45.35909, -122.22797, 0.02710
45.35909, -122.09136, 0.05726
45.35909, -121.95475, 0.11551
45.35909, -121.81815, 0.19727
45.35909, -121.68154, 0.26052
45.35909, -121.54493, 0.27477
45.35909, -121.40833, 0.26603
45.35909, -121.27172, 0.24757
45.35909, -121.13511, 0.21792
45.35909, -120.99851, 0.18146
45.35909, -120.86190, 0.15024
45.35909, -120.72529, 0.12901
45.35909, -120.58869, 0.11731
45.35909, -120.45208, 0.11293
45.35909, -120.31547, 0.11243
45.35909, -120.17887, 0.11133
45.35909, -120.04226, 0.11117
45.35909, -119.90565, 0.10632
45.35909, -119.76905, 0.09249
45.35909, -119.63244, 0.07630
45.35909, -119.49583, 0.06019
45.35909, -119.35922, 0.04507
45.35909, -119.22262, 0.03270
45.35909, -119.08601, 0.02464
45.35909, -118.94940, 0.01924
45.35909, -118.81280, 0.01551
45.35909, -118.67619, 0.01293
45.35909, -118.53958, 0.01026
45.35909, -118.40298, 0.00752
45.35909, -118.26637, 0.00654
45.35909, -118.12976, 0.00606
45.35909, -117.99316, 0.00682
45.35909, -117.85655, 0.00722
45.35909, -117.71994, 0.00834
45.35909, -117.58334, 0.00765
45.35909, -117.44673, 0.00709
45.35909, -117.31012, 0.00574
45.35909, -117.17352, 0.00354
45.35909, -117.03691, 0.00213
45.35909, -116.90030, 0.00121
45.35909, -116.76370, 0.00069
45.35909, -116.62709, 0.00054
45.35909, -116.49048, 0.00049
45.35909, -116.35388, 0.00057
45.46725, -125.09671, 0.00000
45.46725, -124.96010, 0.00000
45.46725, -124.82350, 0.00000
45.46725, -124.68689, 0.00000
45.46725, -124.55028, 0.00000
45.46725, -124.41368, 0.00000
45.46725, -124.27707, 0.00000
45.46725, -124.14046, 0.00437
45.46725, -124.00386, 0.10845
45.46725, -123.86725, 0.15503
45.46725, -123.73064, 0.12076
45.46725, -123.59404, 0.05701
45.46725, -123.45743, 0.02417
45.46725, -123.32082, 0.01080
45.46725, -123.18422, 0.00638
45.46725, -123.04761, 0.00464
45.46725, -122.91100, 0.00449
45.46725, -122.77439, 0.00522
45.46725, -122.63779, 0.00723
45.46725, -122.50118, 0.01062
45.46725, -122.36457, 0.01853
45.46725, -122.22797, 0.03476
45.46725, -122.09136, 0.07134
45.46725, -121.95475, 0.14412
45.46725, -121.81815, 0.24770
45.46725, -121.68154, 0.31666
45.46725, -121.54493, 0.33238
45.46725, -121.40833, 0.32626
45.46725, -121.27172, 0.30429
45.46725, -121.13511, 0.26368
45.46725, -120.99851, 0.21640
45.46725, -120.86190, 0.17578
45.46725, -120.72529, 0.14809
45.46725, -120.58869, 0.13440
45.46725, -120.45208, 0.13041
45.46725, -120.31547, 0.12976
45.46725, -120.17887, 0.12791
45.46725, -120.04226, 0.12345
45.46725, -119.90565, 0.11140
45.46725, -119.76905, 0.09220
45.46725, -119.63244, 0.07068
45.46725, -119.49583, 0.05112
45.46725, -119.35922, 0.03488
45.46725, -119.22262, 0.02320
45.46725, -119.08601, 0.01710
45.46725, -118.94940, 0.01451
45.46725, -118.81280, 0.01282
45.46725, -118.67619, 0.01150
45.46725, -118.53958, 0.00921
45.46725, -118.40298, 0.00719
45.46725, -118.26637, 0.00614
45.46725, -118.12976, 0.00604
