latitude, longitude, count
45.11573, -125.13086, 179.47126
45.11573, -125.06256, 507.54827
45.11573, -124.99426, 1122.59141
45.11573, -124.92595, 14922.22304
45.11573, -124.85765, 42884.30561
45.11573, -124.78935, 111064.07131
45.11573, -124.72104, 268632.13821
45.11573, -124.65274, 544473.30960
45.11573, -124.58444, 827409.33221
45.11573, -124.51613, 9850103.62840
45.11573, -124.44783, 22408313.96567
45.11573, -124.37952, 43580032.35162
45.11573, -124.31122, 76656981.42624
45.11573, -124.24292, 121746591.53578
45.11573, -124.17461, 1527645572.34838
45.11573, -124.10631, 4061953202.44392
45.11573, -124.03801, 7237602972.50035
45.11573, -123.96970, 282361781964.58534
45.11573, -123.90140, 289260573817.95958
45.11573, -123.83310, 42740305967.77147
45.11573, -123.76479, 1261086449631.58783
45.11573, -123.69649, 1431192574211.63931
45.11573, -123.62819, 1411495927766.77694
45.11573, -123.55988, 1052337501618.40381
45.11573, -123.49158, 213381991775.46858
45.11573, -123.42328, 104287538351.18211
45.11573, -123.35497, 3851912535319.81561
45.11573, -123.28667, 4912862984448.61694
45.11573, -123.21837, 4166243281311.36121
45.11573, -123.15006, 424112985998.86998
45.11573, -123.08176, 8983581495.84175
45.11573, -123.01346, 918451975.16978
45.11573, -122.94515, 70373782.03023
45.11573, -122.87685, 4422623.86293
45.11573, -122.80855, 274623.84254
45.11573, -122.74024, 17666.64145
45.11573, -122.67194, 390.46586
45.11573, -122.60364, 54.31848
45.11573, -122.53533, 3.91255
45.11573, -122.46703, 0.25780
45.11573, -122.39873, 0.01801
45.11573, -122.33042, 0.00041
45.11573, -122.26212, 0.00008
45.11573, -122.19382, 0.00001
45.11573, -122.12551, 0.00000
45.11573, -122.05721, 0.00000
45.11573, -121.98891, 0.00000
45.11573, -121.92060, 0.00000
45.11573, -121.85230, 0.00000
45.11573, -121.78400, 0.00000
45.11573, -121.71569, 0.00000
45.11573, -121.64739, 0.00000
45.11573, -121.57909, 0.00000
45.11573, -121.51078, 0.00000
45.11573, -121.44248, 0.00000
45.11573, -121.37418, 0.00000
45.11573, -121.30587, 0.00000
45.11573, -121.23757, 0.00000
45.11573, -121.16927, 0.00000
45.11573, -121.10096, 0.00000
45.11573, -121.03266, 0.00000
45.11573, -120.96435, 0.00000
45.11573, -120.89605, 0.00000
45.11573, -120.82775, 0.00000
45.11573, -120.75944, 0.00000
45.11573, -120.69114, 0.00000
45.11573, -120.62284, 0.00000
45.11573, -120.55453, 0.00000
45.11573, -120.48623, 0.00000
45.11573, -120.41793, 0.00000
45.11573, -120.34962, 0.00000
45.11573, -120.28132, 0.00000
45.11573, -120.21302, 0.00000
45.11573, -120.14471, 0.00000
45.11573, -120.07641, 0.00000
45.11573, -120.00811, 0.00000
45.11573, -119.93980, 0.00000
45.11573, -119.87150, 0.00000
45.11573, -119.80320, 0.00000
45.11573, -119.73489, 0.00000
45.11573, -119.66659, 0.00000
45.11573, -119.59829, 0.00000
45.11573, -119.52998, 0.00000
45.11573, -119.46168, 0.00000
45.11573, -119.39338, 0.00000
45.11573, -119.32507, 0.00000
45.11573, -119.25677, 0.00000
45.11573, -119.18847, 0.00000
45.11573, -119.12016, 0.00000
45.11573, -119.05186, 0.00000
45.11573, -118.98356, 0.00000
45.11573, -118.91525, 0.00000
45.11573, -118.84695, 0.00002
45.11573, -118.77865, 0.00031
45.11573, -118.71034, 0.00411
45.11573, -118.64204, 0.05402
45.11573, -118.57374, 0.64378
45.11573, -118.50543, 3.44514
45.11573, -118.43713, 152.76067
45.11573, -118.36883, 1904.49938
45.11573, -118.30052, 24706.06062
45.11573, -118.23222, 75654.32644
45.11573, -118.16392, 105476.54287
45.11573, -118.09561, 2167929.38578
45.11573, -118.02731, 6090484.66802
45.11573, -117.95901, 15708228.00129
45.11573, -117.89070, 38430053.62243
45.11573, -117.82240, 79092571.95278
45.11573, -117.75410, 75285872.45016
45.11573, -117.68579, 1393113850.48069
45.11573, -117.61749, 3107677679.61042
45.11573, -117.54918, 6090965883.32332
45.11573, -117.48088, 10920060484.91468
45.11573, -117.41258, 11291768047.98761
45.11573, -117.34427, 219980629781.01577
45.11573, -117.27597, 693823828412.14033
45.11573, -117.20767, 2865597975429.33014
45.11573, -117.13936, 13787541413901.97327
45.11573, -117.07106, 16495503851121.27800
45.11573, -117.00276, 4099930915012.87917
45.11573, -116.93445, 71088419749452.63255
45.11573, -116.86615, 99429657159040.19043
45.11573, -116.79785, 105645899484285.82113
45.11573, -116.72954, 85324384337865.93566
45.11573, -116.66124, 12708788209283.10890
45.11573, -116.59294, 58333389992784.78624
45.11573, -116.52463, 232433017230666.31361
45.11573, -116.45633, 352946531562945.39102
45.11573, -116.38803, 332028064213499.97913
45.16981, -125.13086, 24706.06062
45.16981, -125.06256, 75654.32644
45.16981, -124.99426, 105476.54287
45.16981, -124.92595, 2167929.38578
45.16981, -124.85765, 6090484.66802
45.16981, -124.78935, 15708228.00129
45.16981, -124.72104, 38430053.62243
45.16981, -124.65274, 79092571.95278
45.16981, -124.58444, 75285872.45016
45.16981, -124.51613, 1393113850.48069
45.16981, -124.44783, 3107677679.61042
45.16981, -124.37952, 6090965883.32332
45.16981, -124.31122, 10920060484.91468
45.16981, -124.24292, 11291768047.98761
45.16981, -124.17461, 219980629781.01577
45.16981, -124.10631, 693823828412.14033
45.16981, -124.03801, 2865597975429.33014
45.16981, -123.96970, 13787541413901.97327
45.16981, -123.90140, 16495503851121.27800
45.16981, -123.83310, 4099930915012.87917
45.16981, -123.76479, 71088419749452.63255
45.16981, -123.69649, 99429657159040.19043
45.16981, -123.62819, 105645899484285.82113
45.16981, -123.55988, 85324384337865.93566
45.16981, -123.49158, 12708788209283.10890
45.16981, -123.42328, 58333389992784.78624
45.16981, -123.35497, 232433017230666.31361
45.16981, -123.28667, 352946531562945.39102
45.16981, -123.21837, 332028064213499.97913
45.16981, -123.15006, 3574191277701.46003
45.16981, -123.08176, 65535705957.53338
45.16981, -123.01346, 5211488849.56908
45.16981, -122.94515, 317848383.34979
45.16981, -122.87685, 17371454.91377
45.16981, -122.80855, 980414.36054
45.16981, -122.74024, 59327.75011
45.16981, -122.67194, 1135.73470
45.16981, -122.60364, 175.68661
45.16981, -122.53533, 12.15997
45.16981, -122.46703, 0.78634
45.16981, -122.39873, 0.05488
45.16981, -122.33042, 0.00107
45.16981, -122.26212, 0.00023
45.16981, -122.19382, 0.00002
45.16981, -122.12551, 0.00000
45.16981, -122.05721, 0.00000
45.16981, -121.98891, 0.00000
45.16981, -121.92060, 0.00000
45.16981, -121.85230, 0.00000
45.16981, -121.78400, 0.00000
45.16981, -121.71569, 0.00000
45.16981, -121.64739, 0.00000
45.16981, -121.57909, 0.00000
45.16981, -121.51078, 0.00000
45.16981, -121.44248, 0.00000
45.16981, -121.37418, 0.00000
45.16981, -121.30587, 0.00000
45.16981, -121.23757, 0.00000
45.16981, -121.16927, 0.00000
45.16981, -121.10096, 0.00000
45.16981, -121.03266, 0.00000
45.16981, -120.96435, 0.00000
45.16981, -120.89605, 0.00000
45.16981, -120.82775, 0.00000
45.16981, -120.75944, 0.00000
45.16981, -120.69114, 0.00000
45.16981, -120.62284, 0.00000
45.16981, -120.55453, 0.00000
45.16981, -120.48623, 0.00000
45.16981, -120.41793, 0.00000
45.16981, -120.34962, 0.00000
45.16981, -120.28132, 0.00000
45.16981, -120.21302, 0.00000
45.16981, -120.14471, 0.00000
45.16981, -120.07641, 0.00000
45.16981, -120.00811, 0.00000
45.16981, -119.93980, 0.00000
45.16981, -119.87150, 0.00000
45.16981, -119.80320, 0.00000
45.16981, -119.73489, 0.00000
45.16981, -119.66659, 0.00000
45.16981, -119.59829, 0.00000
45.16981, -119.52998, 0.00000
45.16981, -119.46168, 0.00000
45.16981, -119.39338, 0.00000
45.16981, -119.32507, 0.00000
45.16981, -119.25677, 0.00000
45.16981, -119.18847, 0.00000
45.16981, -119.12016, 0.00000
45.16981, -119.05186, 0.00000
45.16981, -118.98356, 0.00000
45.16981, -118.91525, 0.00000
45.16981, -118.84695, 0.00008
45.16981, -118.77865, 0.00107
45.16981, -118.71034, 0.01434
45.16981, -118.64204, 0.19207
45.16981, -118.57374, 2.37810
45.16981, -118.50543, 10.74508
