latitude, longitude, count
45.14277, -125.09671, 0.00000
45.14277, -124.96010, 0.00000
45.14277, -124.82350, 0.00000
45.14277, -124.68689, 0.00000
45.14277, -124.55028, 0.00000
45.14277, -124.41368, 0.00000
45.14277, -124.27707, 0.00000
45.14277, -124.14046, 0.04700
45.14277, -124.00386, 0.67851
45.14277, -123.86725, 0.47078
45.14277, -123.73064, 0.13785
45.14277, -123.59404, 0.02945
45.14277, -123.45743, 0.00783
45.14277, -123.32082, 0.00325
45.14277, -123.18422, 0.00205
45.14277, -123.04761, 0.00175
45.14277, -122.91100, 0.00184
45.14277, -122.77439, 0.00225
45.14277, -122.63779, 0.00311
45.14277, -122.50118, 0.00482
45.14277, -122.36457, 0.00834
45.14277, -122.22797, 0.01606
45.14277, -122.09136, 0.03345
45.14277, -121.95475, 0.06993
45.14277, -121.81815, 0.12805
45.14277, -121.68154, 0.18071
45.14277, -121.54493, 0.19812
45.14277, -121.40833, 0.18985
45.14277, -121.27172, 0.17234
45.14277, -121.13511, 0.15165
45.14277, -120.99851, 0.13097
45.14277, -120.86190, 0.11361
45.14277, -120.72529, 0.10154
45.14277, -120.58869, 0.09482
45.14277, -120.45208, 0.09205
45.14277, -120.31547, 0.09157
45.14277, -120.17887, 0.09302
45.14277, -120.04226, 0.09675
45.14277, -119.90565, 0.10097
45.14277, -119.76905, 0.10087
45.14277, -119.63244, 0.09481
45.14277, -119.49583, 0.08741
45.14277, -119.35922, 0.08193
45.14277, -119.22262, 0.07607
45.14277, -119.08601, 0.06638
45.14277, -118.94940, 0.05363
45.14277, -118.81280, 0.04022
45.14277, -118.67619, 0.02808
45.14277, -118.53958, 0.01916
45.14277, -118.40298, 0.01384
45.14277, -118.26637, 0.01134
45.14277, -118.12976, 0.01087
45.14277, -117.99316, 0.01188
45.14277, -117.85655, 0.01359
45.14277, -117.71994, 0.01507
45.14277, -117.58334, 0.01616
45.14277, -117.44673, 0.01676
45.14277, -117.31012, 0.01580
45.14277, -117.17352, 0.01281
45.14277, -117.03691, 0.00919
45.14277, -116.90030, 0.00628
45.14277, -116.76370, 0.00438
45.14277, -116.62709, 0.00336
45.14277, -116.49048, 0.00326
45.14277, -116.35388, 0.00317
45.25093, -125.09671, 0.00000
45.25093, -124.96010, 0.00000
45.25093, -124.82350, 0.00000
45.25093, -124.68689, 0.00000
45.25093, -124.55028, 0.00000
45.25093, -124.41368, 0.00000
45.25093, -124.27707, 0.00000
45.25093, -124.14046, 0.01525
45.25093, -124.00386, 0.40162
45.25093, -123.86725, 0.34235
45.25093, -123.73064, 0.13682
45.25093, -123.59404, 0.03821
45.25093, -123.45743, 0.01131
45.25093, -123.32082, 0.00473
45.25093, -123.18422, 0.00290
45.25093, -123.04761, 0.00242
45.25093, -122.91100, 0.00250
45.25093, -122.77439, 0.00302
45.25093, -122.63779, 0.00417
45.25093, -122.50118, 0.00646
45.25093, -122.36457, 0.01120
45.25093, -122.22797, 0.02160
45.25093, -122.09136, 0.04490
45.25093, -121.95475, 0.09282
45.25093, -121.81815, 0.16585
45.25093, -121.68154, 0.22633
45.25093, -121.54493, 0.24302
45.25093, -121.40833, 0.23307
45.25093, -121.27172, 0.21359
45.25093, -121.13511, 0.18804
45.25093, -120.99851, 0.16007
45.25093, -120.86190, 0.13578
45.25093, -120.72529, 0.11896
45.25093, -120.58869, 0.10978
45.25093, -120.45208, 0.10604
45.25093, -120.31547, 0.10509
45.25093, -120.17887, 0.10571
45.25093, -120.04226, 0.10748
45.25093, -119.90565, 0.10768
45.25093, -119.76905, 0.10170
45.25093, -119.63244, 0.08974
45.25093, -119.49583, 0.07679
45.25093, -119.35922, 0.06507
45.25093, -119.22262, 0.05378
45.25093, -119.08601, 0.04322
45.25093, -118.94940, 0.03455
45.25093, -118.81280, 0.02708
45.25093, -118.67619, 0.01993
45.25093, -118.53958, 0.01411
45.25093, -118.40298, 0.01043
45.25093, -118.26637, 0.00866
45.25093, -118.12976, 0.00834
45.25093, -117.99316, 0.00909
45.25093, -117.85655, 0.01028
45.25093, -117.71994, 0.01114
45.25093, -117.58334, 0.01151
45.25093, -117.44673, 0.01120
45.25093, -117.31012, 0.00957
45.25093, -117.17352, 0.00693
45.25093, -117.03691, 0.00448
45.25093, -116.90030, 0.00283
45.25093, -116.76370, 0.00186
45.25093, -116.62709, 0.00136
45.25093, -116.49048, 0.00126
45.25093, -116.35388, 0.00143
45.35909, -125.09671, 0.00000
45.35909, -124.96010, 0.00000
45.35909, -124.82350, 0.00000
45.35909, -124.68689, 0.00000
45.35909, -124.55028, 0.00000
45.35909, -124.41368, 0.00000
45.35909, -124.27707, 0.00000
45.35909, -124.14046, 0.00715
45.35909, -124.00386, 0.18141
45.35909, -123.86725, 0.21099
45.35909, -123.73064, 0.12654
45.35909, -123.59404, 0.04764
45.35909, -123.45743, 0.01619
45.35909, -123.32082, 0.00682
45.35909, -123.18422, 0.00399
45.35909, -123.04761, 0.00315
45.35909, -122.91100, 0.00313
45.35909, -122.77439, 0.00371
45.35909, -122.63779, 0.00505
45.35909, -122.50118, 0.00778
45.35909, -122.36457, 0.01351
45.35909, -122.22797, 0.02609
45.35909, -122.09136, 0.05415
45.35909, -121.95475, 0.11045
45.35909, -121.81815, 0.19128
45.35909, -121.68154, 0.25178
45.35909, -121.54493, 0.26611
45.35909, -121.40833, 0.25670
45.35909, -121.27172, 0.23778
45.35909, -121.13511, 0.20904
45.35909, -120.99851, 0.17487
45.35909, -120.86190, 0.14487
45.35909, -120.72529, 0.12461
45.35909, -120.58869, 0.11401
45.35909, -120.45208, 0.11004
45.35909, -120.31547, 0.10909
45.35909, -120.17887, 0.10890
45.35909, -120.04226, 0.10794
45.35909, -119.90565, 0.10299
45.35909, -119.76905, 0.09122
45.35909, -119.63244, 0.07509
45.35909, -119.49583, 0.05898
45.35909, -119.35922, 0.04444
45.35909, -119.22262, 0.03234
45.35909, -119.08601, 0.02406
45.35909, -118.94940, 0.01945
45.35909, -118.81280, 0.01644
45.35909, -118.67619, 0.01317
45.35909, -118.53958, 0.00991
45.35909, -118.40298, 0.00761
45.35909, -118.26637, 0.00647
45.35909, -118.12976, 0.00631
45.35909, -117.99316, 0.00687
45.35909, -117.85655, 0.00766
45.35909, -117.71994, 0.00811
45.35909, -117.58334, 0.00803
45.35909, -117.44673, 0.00720
45.35909, -117.31012, 0.00543
45.35909, -117.17352, 0.00343
45.35909, -117.03691, 0.00199
45.35909, -116.90030, 0.00116
45.35909, -116.76370, 0.00072
45.35909, -116.62709, 0.00051
45.35909, -116.49048, 0.00047
45.35909, -116.35388, 0.00052
45.46725, -125.09671, 0.00000
45.46725, -124.96010, 0.00000
45.46725, -124.82350, 0.00000
45.46725, -124.68689, 0.00000
45.46725, -124.55028, 0.00000
45.46725, -124.41368, 0.00000
45.46725, -124.27707, 0.00000
45.46725, -124.14046, 0.00444
45.46725, -124.00386, 0.10766
45.46725, -123.86725, 0.14669
45.46725, -123.73064, 0.11982
45.46725, -123.59404, 0.05963
45.46725, -123.45743, 0.02411
45.46725, -123.32082, 0.01061
45.46725, -123.18422, 0.00602
45.46725, -123.04761, 0.00453
45.46725, -122.91100, 0.00432
45.46725, -122.77439, 0.00497
45.46725, -122.63779, 0.00665
45.46725, -122.50118, 0.01017
45.46725, -122.36457, 0.01759
45.46725, -122.22797, 0.03396
45.46725, -122.09136, 0.07031
45.46725, -121.95475, 0.14154
45.46725, -121.81815, 0.23855
45.46725, -121.68154, 0.30543
45.46725, -121.54493, 0.32018
45.46725, -121.40833, 0.31138
45.46725, -121.27172, 0.29095
45.46725, -121.13511, 0.25450
45.46725, -120.99851, 0.20877
45.46725, -120.86190, 0.16911
45.46725, -120.72529, 0.14327
45.46725, -120.58869, 0.13048
45.46725, -120.45208, 0.12630
45.46725, -120.31547, 0.12557
45.46725, -120.17887, 0.12436
45.46725, -120.04226, 0.11971
45.46725, -119.90565, 0.10841
45.46725, -119.76905, 0.09018
45.46725, -119.63244, 0.06951
45.46725, -119.49583, 0.05033
45.46725, -119.35922, 0.03439
45.46725, -119.22262, 0.02308
45.46725, -119.08601, 0.01672
45.46725, -118.94940, 0.01400
45.46725, -118.81280, 0.01285
45.46725, -118.67619, 0.01125
45.46725, -118.53958, 0.00900
45.46725, -118.40298, 0.00717
45.46725, -118.26637, 0.00623
45.46725, -118.12976, 0.00614
