latitude, longitude, count
45.14277, -125.09671, 0.00000, 0.00000
45.14277, -124.96010, 0.00000, 0.00000
45.14277, -124.82350, 0.00000, 0.00000
45.14277, -124.68689, 0.00000, 0.00000
45.14277, -124.55028, 0.00000, 0.00000
45.14277, -124.41368, 0.00000, 0.00000
45.14277, -124.27707, 0.00000, 0.00001
45.14277, -124.14046, 29.77826, 0.00001
45.14277, -124.00386, 467.92964, 0.00002
45.14277, -123.86725, 384.36715, 0.00005
45.14277, -123.73064, 78.43316, 0.00037
45.14277, -123.59404, 7.55718, 0.00288
45.14277, -123.45743, 2.05715, 0.01851
45.14277, -123.32082, 0.93205, 0.09275
45.14277, -123.18422, 0.67839, 0.35728
45.14277, -123.04761, 0.63356, 1.05344
45.14277, -122.91100, 0.76152, 2.37703
45.14277, -122.77439, 0.93873, 4.11157
45.14277, -122.63779, 1.39078, 5.47017
45.14277, -122.50118, 2.43557, 5.62975
45.14277, -122.36457, 3.92778, 4.52572
45.14277, -122.22797, 7.72096, 2.89359
45.14277, -122.09136, 16.92880, 1.52773
45.14277, -121.95475, 34.91032, 0.72396
45.14277, -121.81815, 64.67444, 0.36487
45.14277, -121.68154, 91.39055, 0.24225
45.14277, -121.54493, 105.19875, 0.21718
45.14277, -121.40833, 97.34701, 0.22270
45.14277, -121.27172, 85.36967, 0.23405
45.14277, -121.13511, 66.36139, 0.24483
45.14277, -120.99851, 66.63124, 0.25040
45.14277, -120.86190, 59.55613, 0.24420
45.14277, -120.72529, 54.70913, 0.22237
45.14277, -120.58869, 46.29754, 0.18802
45.14277, -120.45208, 46.90430, 0.14963
45.14277, -120.31547, 50.00266, 0.11404
45.14277, -120.17887, 52.85901, 0.08303
45.14277, -120.04226, 61.99591, 0.05689
45.14277, -119.90565, 66.88405, 0.03726
45.14277, -119.76905, 74.08642, 0.02471
45.14277, -119.63244, 83.84353, 0.01696
45.14277, -119.49583, 109.01635, 0.01138
45.14277, -119.35922, 99.70522, 0.00720
45.14277, -119.22262, 75.53737, 0.00458
45.14277, -119.08601, 130.34545, 0.00327
45.14277, -118.94940, 93.07701, 0.00274
45.14277, -118.81280, 78.77077, 0.00270
45.14277, -118.67619, 67.96802, 0.00304
45.14277, -118.53958, 70.57658, 0.00352
45.14277, -118.40298, 53.99288, 0.00367
45.14277, -118.26637, 52.69335, 0.00318
45.14277, -118.12976, 59.97785, 0.00224
45.14277, -117.99316, 47.60548, 0.00134
45.14277, -117.85655, 75.03707, 0.00076
45.14277, -117.71994, 195.46034, 0.00044
45.14277, -117.58334, 203.57683, 0.00025
45.14277, -117.44673, 237.36748, 0.00015
45.14277, -117.31012, 145.40573, 0.00009
45.14277, -117.17352, 147.82918, 0.00006
45.14277, -117.03691, 163.47267, 0.00004
45.14277, -116.90030, 102.52910, 0.00003
45.14277, -116.76370, 83.13390, 0.00001
45.14277, -116.62709, 166.35609, 0.00001
45.14277, -116.49048, 213.77067, 0.00000
45.14277, -116.35388, 285.02275, 0.00000
45.25093, -125.09671, 0.00000, 0.00000
45.25093, -124.96010, 0.00000, 0.00000
45.25093, -124.82350, 0.00000, 0.00000
45.25093, -124.68689, 0.00000, 0.00000
45.25093, -124.55028, 0.00000, 0.00001
45.25093, -124.41368, 0.00000, 0.00003
45.25093, -124.27707, 0.00000, 0.00006
45.25093, -124.14046, 12.18046, 0.00009
45.25093, -124.00386, 286.86810, 0.00012
45.25093, -123.86725, 261.74383, 0.00023
45.25093, -123.73064, 67.77652, 0.00106
45.25093, -123.59404, 5.82813, 0.00706
45.25093, -123.45743, 2.28285, 0.04289
45.25093, -123.32082, 1.15367, 0.20958
45.25093, -123.18422, 0.93241, 0.79525
45.25093, -123.04761, 0.88226, 2.31867
45.25093, -122.91100, 1.14485, 5.18144
45.25093, -122.77439, 1.32259, 8.88081
45.25093, -122.63779, 1.82138, 11.70964
45.25093, -122.50118, 3.44261, 11.94457
45.25093, -122.36457, 5.64380, 9.52141
45.25093, -122.22797, 10.01178, 6.04648
45.25093, -122.09136, 22.38664, 3.18684
45.25093, -121.95475, 45.74445, 1.52811
45.25093, -121.81815, 80.99749, 0.79998
45.25093, -121.68154, 106.46700, 0.56047
45.25093, -121.54493, 118.15110, 0.51713
45.25093, -121.40833, 112.51324, 0.52861
45.25093, -121.27172, 104.92418, 0.54848
45.25093, -121.13511, 90.23452, 0.57326
45.25093, -120.99851, 77.91206, 0.59670
45.25093, -120.86190, 67.91217, 0.59730
45.25093, -120.72529, 60.97681, 0.55612
45.25093, -120.58869, 57.02318, 0.47664
45.25093, -120.45208, 56.36759, 0.38215
45.25093, -120.31547, 56.80437, 0.29341
45.25093, -120.17887, 57.87977, 0.21664
45.25093, -120.04226, 60.33193, 0.15267
45.25093, -119.90565, 58.14113, 0.10511
45.25093, -119.76905, 56.05972, 0.07458
45.25093, -119.63244, 61.05531, 0.05483
45.25093, -119.49583, 55.65248, 0.03965
45.25093, -119.35922, 56.88289, 0.02793
45.25093, -119.22262, 40.69592, 0.02032
45.25093, -119.08601, 51.59509, 0.01588
45.25093, -118.94940, 51.35111, 0.01330
45.25093, -118.81280, 48.27434, 0.01239
45.25093, -118.67619, 36.77527, 0.01331
45.25093, -118.53958, 35.05825, 0.01514
45.25093, -118.40298, 26.64661, 0.01578
45.25093, -118.26637, 24.29990, 0.01372
45.25093, -118.12976, 32.28946, 0.00974
45.25093, -117.99316, 41.66505, 0.00591
45.25093, -117.85655, 41.34994, 0.00341
45.25093, -117.71994, 65.69871, 0.00203
45.25093, -117.58334, 115.12927, 0.00123
45.25093, -117.44673, 124.28072, 0.00075
45.25093, -117.31012, 110.83097, 0.00050
45.25093, -117.17352, 191.19506, 0.00038
45.25093, -117.03691, 100.40880, 0.00029
45.25093, -116.90030, 42.56193, 0.00020
45.25093, -116.76370, 43.46505, 0.00011
45.25093, -116.62709, 59.88847, 0.00005
45.25093, -116.49048, 126.32196, 0.00002
45.25093, -116.35388, 104.65029, 0.00000
45.35909, -125.09671, 0.00000, 0.00000
45.35909, -124.96010, 0.00000, 0.00000
45.35909, -124.82350, 0.00000, 0.00000
45.35909, -124.68689, 0.00000, 0.00002
45.35909, -124.55028, 0.00000, 0.00007
45.35909, -124.41368, 0.00000, 0.00018
45.35909, -124.27707, 0.00000, 0.00035
45.35909, -124.14046, 0.95508, 0.00054
45.35909, -124.00386, 79.37773, 0.00068
45.35909, -123.86725, 75.61336, 0.00100
45.35909, -123.73064, 23.79898, 0.00301
45.35909, -123.59404, 8.31196, 0.01571
45.35909, -123.45743, 3.25385, 0.08633
45.35909, -123.32082, 1.70498, 0.40364
45.35909, -123.18422, 1.26244, 1.49636
45.35909, -123.04761, 1.11916, 4.29790
45.35909, -122.91100, 1.24993, 9.49505
45.35909, -122.77439, 1.32723, 16.11495
45.35909, -122.63779, 2.27615, 21.05561
45.35909, -122.50118, 3.63946, 21.29200
45.35909, -122.36457, 6.74137, 16.83497
45.35909, -122.22797, 11.91149, 10.62155
45.35909, -122.09136, 26.37365, 5.58980
45.35909, -121.95475, 53.28446, 2.71345
45.35909, -121.81815, 90.44537, 1.47582
45.35909, -121.68154, 116.95353, 1.08752
45.35909, -121.54493, 123.57322, 1.02890
45.35909, -121.40833, 118.50522, 1.04867
45.35909, -121.27172, 111.36967, 1.07725
45.35909, -121.13511, 96.86940, 1.12972
45.35909, -120.99851, 80.72092, 1.20137
45.35909, -120.86190, 67.50710, 1.23564
45.35909, -120.72529, 59.92005, 1.17412
45.35909, -120.58869, 57.85565, 1.01666
45.35909, -120.45208, 57.41872, 0.81837
45.35909, -120.31547, 57.55529, 0.63172
45.35909, -120.17887, 57.50069, 0.47365
45.35909, -120.04226, 56.69227, 0.34558
45.35909, -119.90565, 57.44171, 0.25276
45.35909, -119.76905, 49.26637, 0.19367
45.35909, -119.63244, 41.95441, 0.15399
45.35909, -119.49583, 36.10144, 0.12227
45.35909, -119.35922, 36.69844, 0.09781
45.35909, -119.22262, 26.08262, 0.08079
45.35909, -119.08601, 21.26871, 0.06725
45.35909, -118.94940, 28.16662, 0.05536
45.35909, -118.81280, 23.38698, 0.04829
45.35909, -118.67619, 25.14773, 0.04890
45.35909, -118.53958, 20.93424, 0.05427
45.35909, -118.40298, 16.79073, 0.05633
45.35909, -118.26637, 15.17534, 0.04917
45.35909, -118.12976, 15.00274, 0.03520
45.35909, -117.99316, 23.15557, 0.02170
45.35909, -117.85655, 37.18029, 0.01283
45.35909, -117.71994, 34.27226, 0.00789
45.35909, -117.58334, 47.94436, 0.00500
45.35909, -117.44673, 56.06405, 0.00333
45.35909, -117.31012, 39.90107, 0.00253
45.35909, -117.17352, 29.24077, 0.00214
45.35909, -117.03691, 18.59925, 0.00177
45.35909, -116.90030, 9.30888, 0.00126
45.35909, -116.76370, 8.06558, 0.00072
45.35909, -116.62709, 9.39964, 0.00032
45.35909, -116.49048, 12.52292, 0.00011
45.35909, -116.35388, 25.99249, 0.00003
45.46725, -125.09671, 0.00000, 0.00000
45.46725, -124.96010, 0.00000, 0.00000
45.46725, -124.82350, 0.00000, 0.00002
45.46725, -124.68689, 0.00000, 0.00010
45.46725, -124.55028, 0.00000, 0.00035
