latitude, longitude, count
45.14277, -125.09671, 0.00000, 0.00000
45.14277, -124.96010, 0.00000, 0.00000
45.14277, -124.82350, 0.00000, 0.00000
45.14277, -124.68689, 0.00000, 0.00000
45.14277, -124.55028, 0.00000, 0.00000
45.14277, -124.41368, 0.00000, 0.00000
45.14277, -124.27707, 0.00000, 0.00001
45.14277, -124.14046, 11.86252, 0.00001
45.14277, -124.00386, 166.18556, 0.00002
45.14277, -123.86725, 112.34093, 0.00005
45.14277, -123.73064, 31.41728, 0.00037
45.14277, -123.59404, 7.42441, 0.00288
45.14277, -123.45743, 2.17956, 0.01851
45.14277, -123.32082, 0.92702, 0.09275
45.14277, -123.18422, 0.67517, 0.35728
45.14277, -123.04761, 0.64160, 1.05344
45.14277, -122.91100, 0.69962, 2.37703
45.14277, -122.77439, 0.88690, 4.11157
45.14277, -122.63779, 1.28553, 5.47017
45.14277, -122.50118, 2.03572, 5.62975
45.14277, -122.36457, 3.34328, 4.52572
45.14277, -122.22797, 6.39168, 2.89359
45.14277, -122.09136, 13.35683, 1.52773
45.14277, -121.95475, 27.78155, 0.72396
45.14277, -121.81815, 50.79659, 0.36487
45.14277, -121.68154, 71.46298, 0.24225
45.14277, -121.54493, 78.16055, 0.21718
45.14277, -121.40833, 73.54568, 0.22270
45.14277, -121.27172, 67.06629, 0.23405
45.14277, -121.13511, 58.99048, 0.24483
45.14277, -120.99851, 50.69955, 0.25040
45.14277, -120.86190, 44.59438, 0.24420
45.14277, -120.72529, 40.75741, 0.22237
45.14277, -120.58869, 38.99418, 0.18802
45.14277, -120.45208, 37.49382, 0.14963
45.14277, -120.31547, 37.34049, 0.11404
45.14277, -120.17887, 38.36137, 0.08303
45.14277, -120.04226, 40.98970, 0.05689
45.14277, -119.90565, 41.86697, 0.03726
45.14277, -119.76905, 43.26819, 0.02471
45.14277, -119.63244, 45.11152, 0.01696
45.14277, -119.49583, 43.09019, 0.01138
45.14277, -119.35922, 42.20683, 0.00720
45.14277, -119.22262, 41.88302, 0.00458
45.14277, -119.08601, 37.74860, 0.00327
45.14277, -118.94940, 36.35195, 0.00274
45.14277, -118.81280, 31.36720, 0.00270
45.14277, -118.67619, 24.96866, 0.00304
45.14277, -118.53958, 19.30120, 0.00352
45.14277, -118.40298, 16.36991, 0.00367
45.14277, -118.26637, 15.07996, 0.00318
45.14277, -118.12976, 16.06379, 0.00224
45.14277, -117.99316, 21.11353, 0.00134
45.14277, -117.85655, 29.09974, 0.00076
45.14277, -117.71994, 36.01604, 0.00044
45.14277, -117.58334, 37.26410, 0.00025
45.14277, -117.44673, 42.57376, 0.00015
45.14277, -117.31012, 43.32000, 0.00009
45.14277, -117.17352, 47.01503, 0.00006
45.14277, -117.03691, 30.77519, 0.00004
45.14277, -116.90030, 24.89786, 0.00003
45.14277, -116.76370, 15.42001, 0.00001
45.14277, -116.62709, 14.32238, 0.00001
45.14277, -116.49048, 17.42037, 0.00000
45.14277, -116.35388, 14.58867, 0.00000
45.25093, -125.09671, 0.00000, 0.00000
45.25093, -124.96010, 0.00000, 0.00000
45.25093, -124.82350, 0.00000, 0.00000
45.25093, -124.68689, 0.00000, 0.00000
45.25093, -124.55028, 0.00000, 0.00001
45.25093, -124.41368, 0.00000, 0.00003
45.25093, -124.27707, 0.00000, 0.00006
45.25093, -124.14046, 3.51598, 0.00009
45.25093, -124.00386, 87.23284, 0.00012
45.25093, -123.86725, 83.13129, 0.00023
45.25093, -123.73064, 32.76808, 0.00106
45.25093, -123.59404, 8.64364, 0.00706
45.25093, -123.45743, 2.68950, 0.04289
45.25093, -123.32082, 1.29280, 0.20958
45.25093, -123.18422, 0.92683, 0.79525
45.25093, -123.04761, 0.85698, 2.31867
45.25093, -122.91100, 0.91537, 5.18144
45.25093, -122.77439, 1.18136, 8.88081
45.25093, -122.63779, 1.66304, 11.70964
45.25093, -122.50118, 2.63353, 11.94457
45.25093, -122.36457, 4.48862, 9.52141
45.25093, -122.22797, 8.54481, 6.04648
45.25093, -122.09136, 17.34823, 3.18684
45.25093, -121.95475, 35.72638, 1.52811
45.25093, -121.81815, 63.48216, 0.79998
45.25093, -121.68154, 85.80778, 0.56047
45.25093, -121.54493, 93.08621, 0.51713
45.25093, -121.40833, 88.53574, 0.52861
45.25093, -121.27172, 80.45770, 0.54848
45.25093, -121.13511, 71.61947, 0.57326
45.25093, -120.99851, 60.71467, 0.59670
45.25093, -120.86190, 52.00633, 0.59730
45.25093, -120.72529, 45.75530, 0.55612
45.25093, -120.58869, 42.61557, 0.47664
45.25093, -120.45208, 41.50322, 0.38215
45.25093, -120.31547, 41.44980, 0.29341
45.25093, -120.17887, 42.09460, 0.21664
45.25093, -120.04226, 44.12962, 0.15267
45.25093, -119.90565, 44.82583, 0.10511
45.25093, -119.76905, 42.91039, 0.07458
45.25093, -119.63244, 38.74736, 0.05483
45.25093, -119.49583, 34.53314, 0.03965
45.25093, -119.35922, 31.05770, 0.02793
45.25093, -119.22262, 28.53786, 0.02032
45.25093, -119.08601, 24.24797, 0.01588
45.25093, -118.94940, 22.81482, 0.01330
45.25093, -118.81280, 18.83173, 0.01239
45.25093, -118.67619, 16.76190, 0.01331
45.25093, -118.53958, 13.62201, 0.01514
45.25093, -118.40298, 11.47309, 0.01578
45.25093, -118.26637, 10.87567, 0.01372
45.25093, -118.12976, 12.49027, 0.00974
45.25093, -117.99316, 14.64621, 0.00591
45.25093, -117.85655, 19.97238, 0.00341
45.25093, -117.71994, 21.98087, 0.00203
45.25093, -117.58334, 27.09558, 0.00123
45.25093, -117.44673, 27.56404, 0.00075
45.25093, -117.31012, 23.94648, 0.00050
45.25093, -117.17352, 18.56656, 0.00038
45.25093, -117.03691, 13.09175, 0.00029
45.25093, -116.90030, 9.30966, 0.00020
45.25093, -116.76370, 5.18269, 0.00011
45.25093, -116.62709, 4.82952, 0.00005
45.25093, -116.49048, 5.41655, 0.00002
45.25093, -116.35388, 6.58619, 0.00000
45.35909, -125.09671, 0.00000, 0.00000
45.35909, -124.96010, 0.00000, 0.00000
45.35909, -124.82350, 0.00000, 0.00000
45.35909, -124.68689, 0.00000, 0.00002
45.35909, -124.55028, 0.00000, 0.00007
45.35909, -124.41368, 0.00000, 0.00018
45.35909, -124.27707, 0.00000, 0.00035
45.35909, -124.14046, 1.81184, 0.00054
45.35909, -124.00386, 43.29364, 0.00068
45.35909, -123.86725, 49.11329, 0.00100
45.35909, -123.73064, 28.15154, 0.00301
45.35909, -123.59404, 10.48996, 0.01571
45.35909, -123.45743, 3.75283, 0.08633
45.35909, -123.32082, 1.75764, 0.40364
45.35909, -123.18422, 1.19577, 1.49636
45.35909, -123.04761, 1.05156, 4.29790
45.35909, -122.91100, 1.13786, 9.49505
45.35909, -122.77439, 1.42204, 16.11495
45.35909, -122.63779, 1.86702, 21.05561
45.35909, -122.50118, 3.11671, 21.29200
45.35909, -122.36457, 5.18778, 16.83497
45.35909, -122.22797, 9.72178, 10.62155
45.35909, -122.09136, 20.33431, 5.58980
45.35909, -121.95475, 40.58150, 2.71345
45.35909, -121.81815, 70.39819, 1.47582
45.35909, -121.68154, 91.64948, 1.08752
45.35909, -121.54493, 96.81677, 1.02890
45.35909, -121.40833, 92.86448, 1.04867
45.35909, -121.27172, 85.99932, 1.07725
45.35909, -121.13511, 75.69458, 1.12972
45.35909, -120.99851, 63.57164, 1.20137
45.35909, -120.86190, 52.68044, 1.23564
45.35909, -120.72529, 45.74379, 1.17412
45.35909, -120.58869, 42.15192, 1.01666
45.35909, -120.45208, 41.03754, 0.81837
45.35909, -120.31547, 41.01904, 0.63172
45.35909, -120.17887, 41.53516, 0.47365
45.35909, -120.04226, 41.54174, 0.34558
45.35909, -119.90565, 40.38141, 0.25276
45.35909, -119.76905, 36.49322, 0.19367
45.35909, -119.63244, 30.23364, 0.15399
45.35909, -119.49583, 24.82067, 0.12227
45.35909, -119.35922, 19.40122, 0.09781
45.35909, -119.22262, 15.60826, 0.08079
45.35909, -119.08601, 13.25800, 0.06725
45.35909, -118.94940, 12.62781, 0.05536
45.35909, -118.81280, 12.03599, 0.04829
45.35909, -118.67619, 11.18943, 0.04890
45.35909, -118.53958, 9.17872, 0.05427
45.35909, -118.40298, 7.96016, 0.05633
45.35909, -118.26637, 8.10958, 0.04917
45.35909, -118.12976, 9.15476, 0.03520
45.35909, -117.99316, 10.47706, 0.02170
45.35909, -117.85655, 13.50851, 0.01283
45.35909, -117.71994, 14.57893, 0.00789
45.35909, -117.58334, 17.17216, 0.00500
45.35909, -117.44673, 15.82208, 0.00333
45.35909, -117.31012, 12.83571, 0.00253
45.35909, -117.17352, 8.57128, 0.00214
45.35909, -117.03691, 5.28064, 0.00177
45.35909, -116.90030, 2.90902, 0.00126
45.35909, -116.76370, 1.91829, 0.00072
45.35909, -116.62709, 1.83906, 0.00032
45.35909, -116.49048, 1.86050, 0.00011
45.35909, -116.35388, 1.92255, 0.00003
45.46725, -125.09671, 0.00000, 0.00000
45.46725, -124.96010, 0.00000, 0.00000
45.46725, -124.82350, 0.00000, 0.00002
45.46725, -124.68689, 0.00000, 0.00010
45.46725, -124.55028, 0.00000, 0.00035
