latitude, longitude, popi
45.14277, -125.09671, 20.34475
45.14277, -124.96010, 18.17740
45.14277, -124.82350, 16.30654
45.14277, -124.68689, 14.73204
45.14277, -124.55028, 13.45347
45.14277, -124.41368, 12.46921
45.14277, -124.27707, 11.77192
45.14277, -124.14046, 11.32484
45.14277, -124.00386, 10.92173
45.14277, -123.86725, 9.83513
45.14277, -123.73064, 7.89358
45.14277, -123.59404, 5.84876
45.14277, -123.45743, 3.98954
45.14277, -123.32082, 2.37781
45.14277, -123.18422, 1.02924
45.14277, -123.04761, -0.05206
45.14277, -122.91100, -0.86585
45.14277, -122.77439, -1.41380
45.14277, -122.63779, -1.69931
45.14277, -122.50118, -1.72806
45.14277, -122.36457, -1.50978
45.14277, -122.22797, -1.06250
45.14277, -122.09136, -0.42378
45.14277, -121.95475, 0.32302
45.14277, -121.81815, 1.00822
45.14277, -121.68154, 1.41778
45.14277, -121.54493, 1.52701
45.14277, -121.40833, 1.50194
45.14277, -121.27172, 1.45223
45.14277, -121.13511, 1.40721
45.14277, -120.99851, 1.38471
45.14277, -120.86190, 1.40975
45.14277, -120.72529, 1.50343
45.14277, -120.58869, 1.67123
45.14277, -120.45208, 1.89959
45.14277, -120.31547, 2.17119
45.14277, -120.17887, 2.48855
45.14277, -120.04226, 2.86660
45.14277, -119.90565, 3.28981
45.14277, -119.76905, 3.70070
45.14277, -119.63244, 4.07708
45.14277, -119.49583, 4.47567
45.14277, -119.35922, 4.93333
45.14277, -119.22262, 5.38667
45.14277, -119.08601, 5.72416
45.14277, -118.94940, 5.89980
45.14277, -118.81280, 5.91501
45.14277, -118.67619, 5.79636
45.14277, -118.53958, 5.64966
45.14277, -118.40298, 5.60654
45.14277, -118.26637, 5.74954
45.14277, -118.12976, 6.09971
45.14277, -117.99316, 6.61410
45.14277, -117.85655, 7.18814
45.14277, -117.71994, 7.73522
45.14277, -117.58334, 8.27474
45.14277, -117.44673, 8.83394
45.14277, -117.31012, 9.34618
45.14277, -117.17352, 9.74973
45.14277, -117.03691, 10.11153
45.14277, -116.90030, 10.55473
45.14277, -116.76370, 11.17190
45.14277, -116.62709, 12.01898
45.14277, -116.49048, 13.12770
45.14277, -116.35388, 14.51516
45.25093, -125.09671, 18.33114
45.25093, -124.96010, 16.16488
45.25093, -124.82350, 14.29519
45.25093, -124.68689, 12.72192
45.25093, -124.55028, 11.44475
45.25093, -124.41368, 10.46239
45.25093, -124.27707, 9.76935
45.25093, -124.14046, 9.34017
45.25093, -124.00386, 9.04827
45.25093, -123.86725, 8.38974
45.25093, -123.73064, 6.84927
45.25093, -123.59404, 4.95376
45.25093, -123.45743, 3.14923
45.25093, -123.32082, 1.56263
45.25093, -123.18422, 0.22909
45.25093, -123.04761, -0.84100
45.25093, -122.91100, -1.64508
45.25093, -122.77439, -2.18389
45.25093, -122.63779, -2.46041
45.25093, -122.50118, -2.48028
45.25093, -122.36457, -2.25354
45.25093, -122.22797, -1.79948
45.25093, -122.09136, -1.15903
45.25093, -121.95475, -0.42403
45.25093, -121.81815, 0.22317
45.25093, -121.68154, 0.57898
45.25093, -121.54493, 0.65947
45.25093, -121.40833, 0.63751
45.25093, -121.27172, 0.60060
45.25093, -121.13511, 0.55641
45.25093, -120.99851, 0.51635
45.25093, -120.86190, 0.51534
45.25093, -120.72529, 0.58676
45.25093, -120.58869, 0.74099
45.25093, -120.45208, 0.96194
45.25093, -120.31547, 1.22617
45.25093, -120.17887, 1.52954
45.25093, -120.04226, 1.87947
45.25093, -119.90565, 2.25272
45.25093, -119.76905, 2.59588
45.25093, -119.63244, 2.90354
45.25093, -119.49583, 3.22769
45.25093, -119.35922, 3.57803
45.25093, -119.22262, 3.89633
45.25093, -119.08601, 4.14273
45.25093, -118.94940, 4.31963
45.25093, -118.81280, 4.39062
45.25093, -118.67619, 4.31907
45.25093, -118.53958, 4.19017
45.25093, -118.40298, 4.14902
45.25093, -118.26637, 4.28854
45.25093, -118.12976, 4.63133
45.25093, -117.99316, 5.13147
45.25093, -117.85655, 5.68216
45.25093, -117.71994, 6.20016
45.25093, -117.58334, 6.70144
45.25093, -117.44673, 7.19202
45.25093, -117.31012, 7.59244
45.25093, -117.17352, 7.87439
45.25093, -117.03691, 8.14455
45.25093, -116.90030, 8.53080
45.25093, -116.76370, 9.11592
45.25093, -116.62709, 9.94620
45.25093, -116.49048, 11.04656
45.25093, -116.35388, 12.43002
45.35909, -125.09671, 16.49555
45.35909, -124.96010, 14.33042
45.35909, -124.82350, 12.46192
45.35909, -124.68689, 10.88992
45.35909, -124.55028, 9.61413
45.35909, -124.41368, 8.63354
45.35909, -124.27707, 7.94396
45.35909, -124.14046, 7.52673
45.35909, -124.00386, 7.29603
45.35909, -123.86725, 6.91083
45.35909, -123.73064, 5.80514
45.35909, -123.59404, 4.15343
45.35909, -123.45743, 2.44957
45.35909, -123.32082, 0.90724
45.35909, -123.18422, -0.40303
45.35909, -123.04761, -1.45813
45.35909, -122.91100, -2.25077
45.35909, -122.77439, -2.77975
45.35909, -122.63779, -3.04717
45.35909, -122.50118, -3.05833
45.35909, -122.36457, -2.82346
45.35909, -122.22797, -2.36288
45.35909, -122.09136, -1.72094
45.35909, -121.95475, -0.99822
45.35909, -121.81815, -0.38921
45.35909, -121.68154, -0.08390
45.35909, -121.54493, -0.02849
45.35909, -121.40833, -0.04752
45.35909, -121.27172, -0.07441
45.35909, -121.13511, -0.12197
45.35909, -120.99851, -0.18346
45.35909, -120.86190, -0.21159
45.35909, -120.72529, -0.16052
45.35909, -120.58869, -0.01652
45.35909, -120.45208, 0.20044
45.35909, -120.31547, 0.45930
45.35909, -120.17887, 0.74729
45.35909, -120.04226, 1.06254
45.35909, -119.90565, 1.37531
45.35909, -119.76905, 1.64161
45.35909, -119.63244, 1.87085
45.35909, -119.49583, 2.10152
45.35909, -119.35922, 2.32468
45.35909, -119.22262, 2.51585
45.35909, -119.08601, 2.69940
45.35909, -118.94940, 2.89394
45.35909, -118.81280, 3.03061
45.35909, -118.67619, 3.01795
45.35909, -118.53958, 2.91374
45.35909, -118.40298, 2.87651
45.35909, -118.26637, 3.01244
45.35909, -118.12976, 3.34671
45.35909, -117.99316, 3.83061
45.35909, -117.85655, 4.35568
45.35909, -117.71994, 4.84178
45.35909, -117.58334, 5.29769
45.35909, -117.44673, 5.70494
45.35909, -117.31012, 5.98116
45.35909, -117.17352, 6.14501
45.35909, -117.03691, 6.33543
45.35909, -116.90030, 6.67563
45.35909, -116.76370, 7.23614
45.35909, -116.62709, 8.05396
45.35909, -116.49048, 9.14828
45.35909, -116.35388, 10.52890
45.46725, -125.09671, 14.83676
45.46725, -124.96010, 12.67278
45.46725, -124.82350, 10.80548
45.46725, -124.68689, 9.23475
45.46725, -124.55028, 7.96033
45.46725, -124.41368, 6.98138
45.46725, -124.27707, 6.29465
45.46725, -124.14046, 5.88610
45.46725, -124.00386, 5.69379
45.46725, -123.86725, 5.47531
45.46725, -123.73064, 4.73447
45.46725, -123.59404, 3.39527
45.46725, -123.45743, 1.85762
45.46725, -123.32082, 0.39387
45.46725, -123.18422, -0.87701
45.46725, -123.04761, -1.90936
45.46725, -122.91100, -2.68675
45.46725, -122.77439, -3.20412
45.46725, -122.63779, -3.46185
45.46725, -122.50118, -3.46444
45.46725, -122.36457, -3.22200
45.46725, -122.22797, -2.75578
45.46725, -122.09136, -2.11343
45.46725, -121.95475, -1.40430
45.46725, -121.81815, -0.83339
45.46725, -121.68154, -0.57369
45.46725, -121.54493, -0.53849
45.46725, -121.40833, -0.55441
45.46725, -121.27172, -0.57476
45.46725, -121.13511, -0.63114
45.46725, -120.99851, -0.71839
45.46725, -120.86190, -0.77429
45.46725, -120.72529, -0.74144
45.46725, -120.58869, -0.60450
45.46725, -120.45208, -0.38847
45.46725, -120.31547, -0.13363
45.46725, -120.17887, 0.13569
45.46725, -120.04226, 0.40592
45.46725, -119.90565, 0.64393
45.46725, -119.76905, 0.82199
45.46725, -119.63244, 0.96015
45.46725, -119.49583, 1.07875
45.46725, -119.35922, 1.16948
45.46725, -119.22262, 1.25712
45.46725, -119.08601, 1.40353
45.46725, -118.94940, 1.62470
45.46725, -118.81280, 1.83219
45.46725, -118.67619, 1.89001
45.46725, -118.53958, 1.81901
45.46725, -118.40298, 1.78823
45.46725, -118.26637, 1.92025
45.46725, -118.12976, 2.24420
45.46725, -117.99316, 2.70891
45.46725, -117.85655, 3.20513
45.46725, -117.71994, 3.65545
45.46725, -117.58334, 4.05677
45.46725, -117.44673, 4.36454
45.46725, -117.31012, 4.50884
45.46725, -117.17352, 4.56389
45.46725, -117.03691, 4.68793
45.46725, -116.90030, 4.99215
45.46725, -116.76370, 5.53421
45.46725, -116.62709, 6.34300
45.46725, -116.49048, 7.43307
45.46725, -116.35388, 8.81178
45.57541, -125.09671, 13.35345
45.57541, -124.96010, 11.19065
45.57541, -124.82350, 9.32456
45.57541, -124.68689, 7.75507
45.57541, -124.55028, 6.48196
45.57541, -124.41368, 5.50450
45.57541, -124.27707, 4.82009
45.57541, -124.14046, 4.41797
45.57541, -124.00386, 4.25199
45.57541, -123.86725, 4.14183
45.57541, -123.73064, 3.66970
45.57541, -123.59404, 2.64123
45.57541, -123.45743, 1.32833
45.57541, -123.32082, -0.00732
45.57541, -123.18422, -1.21060
45.57541, -123.04761, -2.20541
45.57541, -122.91100, -2.95986
45.57541, -122.77439, -3.46182
45.57541, -122.63779, -3.70829
45.57541, -122.50118, -3.70220
45.57541, -122.36457, -3.45316
45.57541, -122.22797, -2.98314
45.57541, -122.09136, -2.34310
45.57541, -121.95475, -1.65069
45.57541, -121.81815, -1.11772
45.57541, -121.68154, -0.89609
45.57541, -121.54493, -0.87392
45.57541, -121.40833, -0.88543
45.57541, -121.27172, -0.90318
45.57541, -121.13511, -0.97508
45.57541, -120.99851, -1.09275
45.57541, -120.86190, -1.17684
45.57541, -120.72529, -1.16034
45.57541, -120.58869, -1.02818
45.57541, -120.45208, -0.81124
45.57541, -120.31547, -0.56079
45.57541, -120.17887, -0.31696
45.57541, -120.04226, -0.10765
45.57541, -119.90565, 0.03771
45.57541, -119.76905, 0.11587
45.57541, -119.63244, 0.15133
45.57541, -119.49583, 0.14896
45.57541, -119.35922, 0.12113
45.57541, -119.22262, 0.13530
45.57541, -119.08601, 0.26369
45.57541, -118.94940, 0.51450
45.57541, -118.81280, 0.79319
45.57541, -118.67619, 0.93168
45.57541, -118.53958, 0.90399
45.57541, -118.40298, 0.88284
45.57541, -118.26637, 1.01023
45.57541, -118.12976, 1.32091
45.57541, -117.99316, 1.76191
45.57541, -117.85655, 2.22462
45.57541, -117.71994, 2.63395
45.57541, -117.58334, 2.96950
45.57541, -117.44673, 3.16237
45.57541, -117.31012, 3.17432
45.57541, -117.17352, 3.13456
45.57541, -117.03691, 3.20563
45.57541, -116.90030, 3.48261
45.57541, -116.76370, 4.01125
45.57541, -116.62709, 4.81370
45.57541, -116.49048, 5.90093
45.57541, -116.35388, 7.27846
45.68357, -125.09671, 12.04410
45.68357, -124.96010, 9.88253
45.68357, -124.82350, 8.01768
45.68357, -124.68689, 6.44942
45.68357, -124.55028, 5.17752
45.68357, -124.41368, 4.20134
45.68357, -124.27707, 3.51872
45.68357, -124.14046, 3.12121
45.68357, -124.00386, 2.97378
45.68357, -123.86725, 2.93932
45.68357, -123.73064, 2.66488
45.68357, -123.59404, 1.89706
45.68357, -123.45743, 0.82301
45.68357, -123.32082, -0.33729
45.68357, -123.18422, -1.43295
45.68357, -123.04761, -2.36515
45.68357, -122.91100, -3.08232
45.68357, -122.77439, -3.56118
45.68357, -122.63779, -3.79290
45.68357, -122.50118, -3.77744
45.68357, -122.36457, -3.52329
45.68357, -122.22797, -3.05300
45.68357, -122.09136, -2.42097
45.68357, -121.95475, -1.75187
45.68357, -121.81815, -1.25697
45.68357, -121.68154, -1.06197
45.68357, -121.54493, -1.04142
45.68357, -121.40833, -1.04476
45.68357, -121.27172, -1.06381
45.68357, -121.13511, -1.15908
45.68357, -120.99851, -1.31226
45.68357, -120.86190, -1.42536
45.68357, -120.72529, -1.42480
45.68357, -120.58869, -1.29761
45.68357, -120.45208, -1.08085
45.68357, -120.31547, -0.83869
45.68357, -120.17887, -0.63267
45.68357, -120.04226, -0.50583
45.68357, -119.90565, -0.47029
45.68357, -119.76905, -0.49840
45.68357, -119.63244, -0.56896
45.68357, -119.49583, -0.68455
45.68357, -119.35922, -0.80379
